group	side	ckey	rawpath	value	site
schema_version	S4_合同schema	schema_version	schema_version	const=1	eng/contracts/schemas/unified/source_snr.schema.json#/schema_version
semantics	S4_合同schema	bunit_semantics	units.bunit_semantics	enum=["written_px_power","declared_via_provenance"]	eng/contracts/schemas/unified/source_snr.schema.json#/units/bunit_semantics
semantics	S4_合同schema	pixel_semantics	units.pixel_semantics	enum=["surface_brightness","integrated_flux","dimensionless","count","probability","magnitude"]	eng/contracts/schemas/unified/source_snr.schema.json#/units/pixel_semantics
pixel_area_power	S4_合同schema	pixel_area_power	units.pixel_area_power	enum=[-2,0]	eng/contracts/schemas/unified/source_snr.schema.json#/units/pixel_area_power
target_pixel_area	S4_合同schema	target_pixel_area	units.target_pixel_area	exclusiveMinimum=0	eng/contracts/schemas/unified/source_snr.schema.json#/units/target_pixel_area
semantics	S4_合同schema	bunit_semantics	units.bunit_semantics	const="written_px_power"	eng/contracts/schemas/unified/source_snr.schema.json#/units/then/bunit_semantics
semantics	S4_合同schema	pixel_semantics	units.pixel_semantics	const="surface_brightness"	eng/contracts/schemas/unified/source_snr.schema.json#/units/then/pixel_semantics
pixel_area_power	S4_合同schema	pixel_area_power	units.pixel_area_power	const=-2	eng/contracts/schemas/unified/source_snr.schema.json#/units/then/pixel_area_power
semantics	S4_合同schema	bunit_semantics	units.bunit_semantics	const="declared_via_provenance"	eng/contracts/schemas/unified/source_snr.schema.json#/units/if/bunit_semantics
semantics	S4_合同schema	pixel_semantics	units.pixel_semantics	const="surface_brightness"	eng/contracts/schemas/unified/source_snr.schema.json#/units/then/pixel_semantics
pixel_area_power	S4_合同schema	pixel_area_power	units.pixel_area_power	const=-2	eng/contracts/schemas/unified/source_snr.schema.json#/units/then/pixel_area_power
semantics	S4_合同schema	pixel_semantics	units.pixel_semantics	const="integrated_flux"	eng/contracts/schemas/unified/source_snr.schema.json#/units/if/pixel_semantics
pixel_area_power	S4_合同schema	pixel_area_power	units.pixel_area_power	const=0	eng/contracts/schemas/unified/source_snr.schema.json#/units/then/pixel_area_power
missing_repr	S4_合同schema	missing_repr	missing_value.missing_repr	enum=["null","absent_key","zero","null_or_absent","unavailable_object"]	eng/contracts/schemas/unified/source_snr.schema.json#/missing_value/missing_repr
invalid_repr	S4_合同schema	invalid_repr	missing_value.invalid_repr	enum=["null","nan","zero","nan_or_negative","mask_bit","unavailable_object","not_applicable"]	eng/contracts/schemas/unified/source_snr.schema.json#/missing_value/invalid_repr
precision	S4_合同schema	precision	precision	enum=["float32","float64","integer"]	eng/contracts/schemas/unified/source_snr.schema.json#/precision
object_weight_capability	S4_合同schema	object_weight_capability	object_weight_capability	const=false	eng/contracts/schemas/unified/source_snr.schema.json#/object_weight_capability
verdict	S4_合同schema	object_weight_verdict	object_weight_verdict	const="不直接作帧权重"	eng/contracts/schemas/unified/source_snr.schema.json#/object_weight_verdict
source_snr_value	S4_合同schema	source_snr_value	source_snr_value	minimum=0	eng/contracts/schemas/unified/source_snr.schema.json#/source_snr_value
role	S4_合同schema	role	role	enum=["diagnostic","depth_reference"]	eng/contracts/schemas/unified/source_snr.schema.json#/role
unified_object	S4_合同schema	unified_object	unified_object	const="sparse_snr_layer"	eng/contracts/schemas/unified/sparse_snr_layer.schema.json#/unified_object
object_schema_id	S4_合同schema	object_schema_id	object_schema_id	const="https://astrocs.local/schemas/unified/sparse_snr_layer/v1"	eng/contracts/schemas/unified/sparse_snr_layer.schema.json#/object_schema_id
schema_version	S4_合同schema	schema_version	schema_version	const=1	eng/contracts/schemas/unified/sparse_snr_layer.schema.json#/schema_version
semantics	S4_合同schema	bunit_semantics	units.bunit_semantics	enum=["written_px_power","declared_via_provenance"]	eng/contracts/schemas/unified/sparse_snr_layer.schema.json#/units/bunit_semantics
semantics	S4_合同schema	pixel_semantics	units.pixel_semantics	enum=["surface_brightness","integrated_flux","dimensionless","count","probability","magnitude"]	eng/contracts/schemas/unified/sparse_snr_layer.schema.json#/units/pixel_semantics
pixel_area_power	S4_合同schema	pixel_area_power	units.pixel_area_power	enum=[-2,0]	eng/contracts/schemas/unified/sparse_snr_layer.schema.json#/units/pixel_area_power
target_pixel_area	S4_合同schema	target_pixel_area	units.target_pixel_area	exclusiveMinimum=0	eng/contracts/schemas/unified/sparse_snr_layer.schema.json#/units/target_pixel_area
semantics	S4_合同schema	bunit_semantics	units.bunit_semantics	const="written_px_power"	eng/contracts/schemas/unified/sparse_snr_layer.schema.json#/units/then/bunit_semantics
semantics	S4_合同schema	pixel_semantics	units.pixel_semantics	const="surface_brightness"	eng/contracts/schemas/unified/sparse_snr_layer.schema.json#/units/then/pixel_semantics
pixel_area_power	S4_合同schema	pixel_area_power	units.pixel_area_power	const=-2	eng/contracts/schemas/unified/sparse_snr_layer.schema.json#/units/then/pixel_area_power
semantics	S4_合同schema	bunit_semantics	units.bunit_semantics	const="declared_via_provenance"	eng/contracts/schemas/unified/sparse_snr_layer.schema.json#/units/if/bunit_semantics
semantics	S4_合同schema	pixel_semantics	units.pixel_semantics	const="surface_brightness"	eng/contracts/schemas/unified/sparse_snr_layer.schema.json#/units/then/pixel_semantics
pixel_area_power	S4_合同schema	pixel_area_power	units.pixel_area_power	const=-2	eng/contracts/schemas/unified/sparse_snr_layer.schema.json#/units/then/pixel_area_power
semantics	S4_合同schema	pixel_semantics	units.pixel_semantics	const="integrated_flux"	eng/contracts/schemas/unified/sparse_snr_layer.schema.json#/units/if/pixel_semantics
pixel_area_power	S4_合同schema	pixel_area_power	units.pixel_area_power	const=0	eng/contracts/schemas/unified/sparse_snr_layer.schema.json#/units/then/pixel_area_power
missing_repr	S4_合同schema	missing_repr	missing_value.missing_repr	enum=["null","absent_key","zero","null_or_absent","unavailable_object"]	eng/contracts/schemas/unified/sparse_snr_layer.schema.json#/missing_value/missing_repr
invalid_repr	S4_合同schema	invalid_repr	missing_value.invalid_repr	enum=["null","nan","zero","nan_or_negative","mask_bit","unavailable_object","not_applicable"]	eng/contracts/schemas/unified/sparse_snr_layer.schema.json#/missing_value/invalid_repr
precision	S4_合同schema	precision	precision	enum=["float32","float64","integer"]	eng/contracts/schemas/unified/sparse_snr_layer.schema.json#/precision
object_weight_capability	S4_合同schema	object_weight_capability	object_weight_capability	const=false	eng/contracts/schemas/unified/sparse_snr_layer.schema.json#/object_weight_capability
verdict	S4_合同schema	object_weight_verdict	object_weight_verdict	const="帧内精细参考"	eng/contracts/schemas/unified/sparse_snr_layer.schema.json#/object_weight_verdict
semantics	S4_合同schema	sparse_snr_semantics	sparse_snr_semantics	const="absolute_flux_type_snr"	eng/contracts/schemas/unified/sparse_snr_layer.schema.json#/sparse_snr_semantics
reconstruction_operator	S4_合同schema	reconstruction_operator	reconstruction_operator	enum=["natural_bicubic_spline_clip_v1","natural_bicubic_spline_clip_mesh_median_v1","bilinear_regular_grid_v1","nearest_control_point_v1"]	eng/contracts/schemas/unified/sparse_snr_layer.schema.json#/reconstruction_operator
spacing_px	S4_合同schema	spacing_px	control_point_geometry.spacing_px	exclusiveMinimum=0	eng/contracts/schemas/unified/sparse_snr_layer.schema.json#/control_point_geometry/spacing_px
node_placement	S4_合同schema	node_placement	control_point_geometry.node_placement	const="cell_center_v1"	eng/contracts/schemas/unified/sparse_snr_layer.schema.json#/control_point_geometry/node_placement
sparse_snr_value	S4_合同schema	sparse_snr_value	control_points.sparse_snr_value	exclusiveMinimum=0	eng/contracts/schemas/unified/sparse_snr_layer.schema.json#/control_points/items/sparse_snr_value
density	S4_合同schema	density	density	exclusiveMinimum=0	eng/contracts/schemas/unified/sparse_snr_layer.schema.json#/density
role	S4_合同schema	role	role	enum=["intra_frame_reference"]	eng/contracts/schemas/unified/sparse_snr_layer.schema.json#/role
unified_object	S4_合同schema	unified_object	unified_object	const="support"	eng/contracts/schemas/unified/support.schema.json#/unified_object
object_schema_id	S4_合同schema	object_schema_id	object_schema_id	const="https://astrocs.local/schemas/unified/support/v1"	eng/contracts/schemas/unified/support.schema.json#/object_schema_id
schema_version	S4_合同schema	schema_version	schema_version	const=1	eng/contracts/schemas/unified/support.schema.json#/schema_version
bunit	S4_合同schema	bunit	units.bunit	const="1"	eng/contracts/schemas/unified/support.schema.json#/units/bunit
semantics	S4_合同schema	bunit_semantics	units.bunit_semantics	enum=["written_px_power","declared_via_provenance"]	eng/contracts/schemas/unified/support.schema.json#/units/bunit_semantics
semantics	S4_合同schema	pixel_semantics	units.pixel_semantics	const="probability"	eng/contracts/schemas/unified/support.schema.json#/units/pixel_semantics
pixel_area_power	S4_合同schema	pixel_area_power	units.pixel_area_power	const=0	eng/contracts/schemas/unified/support.schema.json#/units/pixel_area_power
target_pixel_area	S4_合同schema	target_pixel_area	units.target_pixel_area	exclusiveMinimum=0	eng/contracts/schemas/unified/support.schema.json#/units/target_pixel_area
semantics	S4_合同schema	bunit_semantics	units.bunit_semantics	const="written_px_power"	eng/contracts/schemas/unified/support.schema.json#/units/then/bunit_semantics
semantics	S4_合同schema	pixel_semantics	units.pixel_semantics	const="surface_brightness"	eng/contracts/schemas/unified/support.schema.json#/units/then/pixel_semantics
pixel_area_power	S4_合同schema	pixel_area_power	units.pixel_area_power	const=-2	eng/contracts/schemas/unified/support.schema.json#/units/then/pixel_area_power
semantics	S4_合同schema	bunit_semantics	units.bunit_semantics	const="declared_via_provenance"	eng/contracts/schemas/unified/support.schema.json#/units/if/bunit_semantics
semantics	S4_合同schema	pixel_semantics	units.pixel_semantics	const="surface_brightness"	eng/contracts/schemas/unified/support.schema.json#/units/then/pixel_semantics
pixel_area_power	S4_合同schema	pixel_area_power	units.pixel_area_power	const=-2	eng/contracts/schemas/unified/support.schema.json#/units/then/pixel_area_power
semantics	S4_合同schema	pixel_semantics	units.pixel_semantics	const="integrated_flux"	eng/contracts/schemas/unified/support.schema.json#/units/if/pixel_semantics
pixel_area_power	S4_合同schema	pixel_area_power	units.pixel_area_power	const=0	eng/contracts/schemas/unified/support.schema.json#/units/then/pixel_area_power
missing_repr	S4_合同schema	missing_repr	missing_value.missing_repr	enum=["null","absent_key","zero","null_or_absent","unavailable_object"]	eng/contracts/schemas/unified/support.schema.json#/missing_value/missing_repr
invalid_repr	S4_合同schema	invalid_repr	missing_value.invalid_repr	enum=["null","nan","zero","nan_or_negative","mask_bit","unavailable_object","not_applicable"]	eng/contracts/schemas/unified/support.schema.json#/missing_value/invalid_repr
precision	S4_合同schema	precision	precision	enum=["float32","float64","integer"]	eng/contracts/schemas/unified/support.schema.json#/precision
object_weight_capability	S4_合同schema	object_weight_capability	object_weight_capability	const=false	eng/contracts/schemas/unified/support.schema.json#/object_weight_capability
verdict	S4_合同schema	object_weight_verdict	object_weight_verdict	const="否"	eng/contracts/schemas/unified/support.schema.json#/object_weight_verdict
support_value	S4_合同schema	support_value	support_value	minimum=0;maximum=1	eng/contracts/schemas/unified/support.schema.json#/support_value
definition	S4_合同schema	support_definition	support_definition	enum=["area_contribution","valid_input_fraction"]	eng/contracts/schemas/unified/support.schema.json#/support_definition
role	S4_合同schema	role	role	enum=["gate"]	eng/contracts/schemas/unified/support.schema.json#/role
unified_object	S4_合同schema	unified_object	unified_object	const="validity"	eng/contracts/schemas/unified/validity.schema.json#/unified_object
object_schema_id	S4_合同schema	object_schema_id	object_schema_id	const="https://astrocs.local/schemas/unified/validity/v1"	eng/contracts/schemas/unified/validity.schema.json#/object_schema_id
schema_version	S4_合同schema	schema_version	schema_version	const=1	eng/contracts/schemas/unified/validity.schema.json#/schema_version
bunit	S4_合同schema	bunit	units.bunit	const="1"	eng/contracts/schemas/unified/validity.schema.json#/units/bunit
semantics	S4_合同schema	bunit_semantics	units.bunit_semantics	enum=["written_px_power","declared_via_provenance"]	eng/contracts/schemas/unified/validity.schema.json#/units/bunit_semantics
semantics	S4_合同schema	pixel_semantics	units.pixel_semantics	const="count"	eng/contracts/schemas/unified/validity.schema.json#/units/pixel_semantics
pixel_area_power	S4_合同schema	pixel_area_power	units.pixel_area_power	const=0	eng/contracts/schemas/unified/validity.schema.json#/units/pixel_area_power
target_pixel_area	S4_合同schema	target_pixel_area	units.target_pixel_area	exclusiveMinimum=0	eng/contracts/schemas/unified/validity.schema.json#/units/target_pixel_area
semantics	S4_合同schema	bunit_semantics	units.bunit_semantics	const="written_px_power"	eng/contracts/schemas/unified/validity.schema.json#/units/then/bunit_semantics
semantics	S4_合同schema	pixel_semantics	units.pixel_semantics	const="surface_brightness"	eng/contracts/schemas/unified/validity.schema.json#/units/then/pixel_semantics
pixel_area_power	S4_合同schema	pixel_area_power	units.pixel_area_power	const=-2	eng/contracts/schemas/unified/validity.schema.json#/units/then/pixel_area_power
semantics	S4_合同schema	bunit_semantics	units.bunit_semantics	const="declared_via_provenance"	eng/contracts/schemas/unified/validity.schema.json#/units/if/bunit_semantics
semantics	S4_合同schema	pixel_semantics	units.pixel_semantics	const="surface_brightness"	eng/contracts/schemas/unified/validity.schema.json#/units/then/pixel_semantics
pixel_area_power	S4_合同schema	pixel_area_power	units.pixel_area_power	const=-2	eng/contracts/schemas/unified/validity.schema.json#/units/then/pixel_area_power
semantics	S4_合同schema	pixel_semantics	units.pixel_semantics	const="integrated_flux"	eng/contracts/schemas/unified/validity.schema.json#/units/if/pixel_semantics
pixel_area_power	S4_合同schema	pixel_area_power	units.pixel_area_power	const=0	eng/contracts/schemas/unified/validity.schema.json#/units/then/pixel_area_power
missing_repr	S4_合同schema	missing_repr	missing_value.missing_repr	enum=["null","absent_key","zero","null_or_absent","unavailable_object"]	eng/contracts/schemas/unified/validity.schema.json#/missing_value/missing_repr
invalid_repr	S4_合同schema	invalid_repr	missing_value.invalid_repr	enum=["null","nan","zero","nan_or_negative","mask_bit","unavailable_object","not_applicable"]	eng/contracts/schemas/unified/validity.schema.json#/missing_value/invalid_repr
precision	S4_合同schema	precision	precision	enum=["float32","float64","integer"]	eng/contracts/schemas/unified/validity.schema.json#/precision
object_weight_capability	S4_合同schema	object_weight_capability	object_weight_capability	const=false	eng/contracts/schemas/unified/validity.schema.json#/object_weight_capability
verdict	S4_合同schema	object_weight_verdict	object_weight_verdict	const="门，不是权重"	eng/contracts/schemas/unified/validity.schema.json#/object_weight_verdict
validity_state	S4_合同schema	validity_state	validity_state	enum=["valid","invalid","missing","out_of_range"]	eng/contracts/schemas/unified/validity.schema.json#/validity_state
reason	S4_合同schema	reason	reason	enum=["none","bad_pixel","cosmic_ray","saturated","non_finite","no_coverage","out_of_bounds","below_detection","unavailable"]	eng/contracts/schemas/unified/validity.schema.json#/reason
role	S4_合同schema	role	role	enum=["gate"]	eng/contracts/schemas/unified/validity.schema.json#/role
unified_object	S4_合同schema	unified_object	unified_object	const="variance"	eng/contracts/schemas/unified/variance.schema.json#/unified_object
object_schema_id	S4_合同schema	object_schema_id	object_schema_id	const="https://astrocs.local/schemas/unified/variance/v1"	eng/contracts/schemas/unified/variance.schema.json#/object_schema_id
schema_version	S4_合同schema	schema_version	schema_version	const=1	eng/contracts/schemas/unified/variance.schema.json#/schema_version
semantics	S4_合同schema	bunit_semantics	units.bunit_semantics	enum=["written_px_power","declared_via_provenance"]	eng/contracts/schemas/unified/variance.schema.json#/units/bunit_semantics
semantics	S4_合同schema	pixel_semantics	units.pixel_semantics	enum=["surface_brightness","integrated_flux","dimensionless","count","probability","magnitude"]	eng/contracts/schemas/unified/variance.schema.json#/units/pixel_semantics
pixel_area_power	S4_合同schema	pixel_area_power	units.pixel_area_power	enum=[-2,0]	eng/contracts/schemas/unified/variance.schema.json#/units/pixel_area_power
target_pixel_area	S4_合同schema	target_pixel_area	units.target_pixel_area	exclusiveMinimum=0	eng/contracts/schemas/unified/variance.schema.json#/units/target_pixel_area
semantics	S4_合同schema	bunit_semantics	units.bunit_semantics	const="written_px_power"	eng/contracts/schemas/unified/variance.schema.json#/units/then/bunit_semantics
semantics	S4_合同schema	pixel_semantics	units.pixel_semantics	const="surface_brightness"	eng/contracts/schemas/unified/variance.schema.json#/units/then/pixel_semantics
pixel_area_power	S4_合同schema	pixel_area_power	units.pixel_area_power	const=-2	eng/contracts/schemas/unified/variance.schema.json#/units/then/pixel_area_power
semantics	S4_合同schema	bunit_semantics	units.bunit_semantics	const="declared_via_provenance"	eng/contracts/schemas/unified/variance.schema.json#/units/if/bunit_semantics
semantics	S4_合同schema	pixel_semantics	units.pixel_semantics	const="surface_brightness"	eng/contracts/schemas/unified/variance.schema.json#/units/then/pixel_semantics
pixel_area_power	S4_合同schema	pixel_area_power	units.pixel_area_power	const=-2	eng/contracts/schemas/unified/variance.schema.json#/units/then/pixel_area_power
semantics	S4_合同schema	pixel_semantics	units.pixel_semantics	const="integrated_flux"	eng/contracts/schemas/unified/variance.schema.json#/units/if/pixel_semantics
pixel_area_power	S4_合同schema	pixel_area_power	units.pixel_area_power	const=0	eng/contracts/schemas/unified/variance.schema.json#/units/then/pixel_area_power
missing_repr	S4_合同schema	missing_repr	missing_value.missing_repr	enum=["null","absent_key","zero","null_or_absent","unavailable_object"]	eng/contracts/schemas/unified/variance.schema.json#/missing_value/missing_repr
invalid_repr	S4_合同schema	invalid_repr	missing_value.invalid_repr	enum=["null","nan","zero","nan_or_negative","mask_bit","unavailable_object","not_applicable"]	eng/contracts/schemas/unified/variance.schema.json#/missing_value/invalid_repr
precision	S4_合同schema	precision	precision	enum=["float32","float64","integer"]	eng/contracts/schemas/unified/variance.schema.json#/precision
object_weight_capability	S4_合同schema	object_weight_capability	object_weight_capability	const=true	eng/contracts/schemas/unified/variance.schema.json#/object_weight_capability
verdict	S4_合同schema	object_weight_verdict	object_weight_verdict	const="对该估计目标可以"	eng/contracts/schemas/unified/variance.schema.json#/object_weight_verdict
variance_value	S4_合同schema	variance_value	variance_value	minimum=0	eng/contracts/schemas/unified/variance.schema.json#/variance_value
variance_from	S4_合同schema	variance_from	variance_from	enum=["actual_combination_coefficients","propagated_input_covariance","declared_model"]	eng/contracts/schemas/unified/variance.schema.json#/variance_from
representation	S4_合同schema	representation	representation	enum=["map","scalar","diagonal","diagonal_plus_correlation_kernel","unavailable"]	eng/contracts/schemas/unified/variance.schema.json#/representation
target_estimator	S4_合同schema	target_estimator	target_estimator	enum=["pixel_flux","point_source_flux","surface_brightness","aperture_flux"]	eng/contracts/schemas/unified/variance.schema.json#/target_estimator
support_radius_px	S4_合同schema	support_radius_px	correlation_kernel.support_radius_px	exclusiveMinimum=0	eng/contracts/schemas/unified/variance.schema.json#/correlation_kernel/support_radius_px
representation	S4_合同schema	representation	representation	const="diagonal"	eng/contracts/schemas/unified/variance.schema.json#/if/representation
representation	S4_合同schema	representation	representation	const="diagonal_plus_correlation_kernel"	eng/contracts/schemas/unified/variance.schema.json#/if/representation
semantics	S4_合同schema	bunit_semantics	units.bunit_semantics	const="written_px_power"	eng/contracts/schemas/unified/variance.schema.json#/if/units/bunit_semantics
pixel_area_power	S4_合同schema	pixel_area_power	units.pixel_area_power	const=0	eng/contracts/schemas/unified/variance.schema.json#/if/units/pixel_area_power/not
semantics	S4_合同schema	bunit_semantics	units.bunit_semantics	const="declared_via_provenance"	eng/contracts/schemas/unified/variance.schema.json#/if/units/bunit_semantics
bunit	S4_合同schema	bunit	units.bunit	const="ADU"	eng/contracts/schemas/unified/variance.schema.json#/then/units/bunit
semantics	S4_合同schema	bunit_semantics	units.bunit_semantics	const="declared_via_provenance"	eng/contracts/schemas/unified/variance.schema.json#/if/units/bunit_semantics
semantics	S4_合同schema	pixel_semantics	units.pixel_semantics	const="surface_brightness"	eng/contracts/schemas/unified/variance.schema.json#/if/units/pixel_semantics
pixel_area_power	S4_合同schema	pixel_area_power	units.pixel_area_power	const=-2	eng/contracts/schemas/unified/variance.schema.json#/then/units/pixel_area_power
semantics	S4_合同schema	bunit_semantics	units.bunit_semantics	const="declared_via_provenance"	eng/contracts/schemas/unified/variance.schema.json#/if/units/bunit_semantics
semantics	S4_合同schema	pixel_semantics	units.pixel_semantics	const="integrated_flux"	eng/contracts/schemas/unified/variance.schema.json#/if/units/pixel_semantics
pixel_area_power	S4_合同schema	pixel_area_power	units.pixel_area_power	const=0	eng/contracts/schemas/unified/variance.schema.json#/then/units/pixel_area_power
prerelease	S4_合同schema	prerelease	prerelease	const="alpha"	eng/contracts/schemas/version.schema.json#/prerelease
schema_version	S4_合同schema	schema_version	schema_version	const="1.1"	lib/infrastructure/pipeline/orchestrator/configs/stage1.schema.json#/schema_version
pipeline	S4_合同schema	pipeline	pipeline	const="stage1"	lib/infrastructure/pipeline/orchestrator/configs/stage1.schema.json#/pipeline
precision	S4_合同schema	precision	precision	enum=["fp32","fp64"]	lib/infrastructure/pipeline/orchestrator/configs/stage1.schema.json#/precision
calibration.mode	S4_合同schema	calibration.mode	calibration.mode	enum=["standard","optimal","exposure_ratio"]	lib/infrastructure/pipeline/orchestrator/configs/stage1.schema.json#/calibration/mode
light_exposure_s	S4_合同schema	light_exposure_s	calibration.light_exposure_s	exclusiveMinimum=0	lib/infrastructure/pipeline/orchestrator/configs/stage1.schema.json#/calibration/light_exposure_s
dark_exposure_s	S4_合同schema	dark_exposure_s	calibration.dark_exposure_s	exclusiveMinimum=0	lib/infrastructure/pipeline/orchestrator/configs/stage1.schema.json#/calibration/dark_exposure_s
fallback	S4_合同schema	fallback	calibration.fallback	enum=["exposure_ratio","fail"]	lib/infrastructure/pipeline/orchestrator/configs/stage1.schema.json#/calibration/fallback
max_stars	S4_合同schema	max_stars	platesolve.max_stars	minimum=1	lib/infrastructure/pipeline/orchestrator/configs/stage1.schema.json#/platesolve/max_stars
ra_deg	S4_合同schema	initial_ra_deg	platesolve.initial_ra_deg	minimum=0;exclusiveMaximum=360	lib/infrastructure/pipeline/orchestrator/configs/stage1.schema.json#/platesolve/initial_ra_deg
dec_deg	S4_合同schema	initial_dec_deg	platesolve.initial_dec_deg	minimum=-90;maximum=90	lib/infrastructure/pipeline/orchestrator/configs/stage1.schema.json#/platesolve/initial_dec_deg
fit_radius	S4_合同schema	fit_radius	psf.fit_radius	minimum=1	lib/infrastructure/pipeline/orchestrator/configs/stage1.schema.json#/psf/fit_radius
max_iterations	S4_合同schema	max_iterations	psf.max_iterations	minimum=1	lib/infrastructure/pipeline/orchestrator/configs/stage1.schema.json#/psf/max_iterations
psf.tolerance	S4_合同schema	psf.tolerance	psf.tolerance	exclusiveMinimum=0	lib/infrastructure/pipeline/orchestrator/configs/stage1.schema.json#/psf/tolerance
estimator_id	S4_合同schema	estimator_id	snr.estimator_id	minimum=0	lib/infrastructure/pipeline/orchestrator/configs/stage1.schema.json#/snr/estimator_id
sampling_scale	S4_合同schema	sampling_scale	snr.sampling_scale	exclusiveMinimum=0	lib/infrastructure/pipeline/orchestrator/configs/stage1.schema.json#/snr/sampling_scale
drizzle.mode	S4_合同schema	drizzle.mode	drizzle.mode	const="precise"	lib/infrastructure/pipeline/orchestrator/configs/stage1.schema.json#/drizzle/mode
pixfrac	S4_合同schema	pixfrac	drizzle.pixfrac	default=0.8;exclusiveMinimum=0;maximum=1	lib/infrastructure/pipeline/orchestrator/configs/stage1.schema.json#/drizzle/pixfrac
drizzle.ordering	S4_合同schema	drizzle.ordering	drizzle.ordering	const="nested"	lib/infrastructure/pipeline/orchestrator/configs/stage1.schema.json#/drizzle/ordering
nside.mode	S4_合同schema	nside.mode	drizzle.nside.mode	const="auto"	lib/infrastructure/pipeline/orchestrator/configs/stage1.schema.json#/drizzle/nside/mode
nside.mode	S4_合同schema	nside.mode	drizzle.nside.mode	const="explicit"	lib/infrastructure/pipeline/orchestrator/configs/stage1.schema.json#/drizzle/nside/mode
nside.value	S4_合同schema	nside.value	drizzle.nside.value	minimum=16;maximum=4194304	lib/infrastructure/pipeline/orchestrator/configs/stage1.schema.json#/drizzle/nside/value
hiss	S4_合同schema	hiss	output.hiss	default=""	lib/infrastructure/pipeline/orchestrator/configs/stage1.schema.json#/output/hiss
hips	S4_合同schema	hips	output.hips	default=""	lib/infrastructure/pipeline/orchestrator/configs/stage1.schema.json#/output/hips
legacy_hiss_compare	S4_合同schema	legacy_hiss_compare	validation.legacy_hiss_compare	default=false	lib/infrastructure/pipeline/orchestrator/configs/stage1.schema.json#/validation/legacy_hiss_compare
legacy_hiss_path	S4_合同schema	legacy_hiss_path	validation.legacy_hiss_path	default=""	lib/infrastructure/pipeline/orchestrator/configs/stage1.schema.json#/validation/legacy_hiss_path
stop_after	S4_合同schema	stop_after	execution.stop_after	enum=["read","calibrate","platesolve","psf","photometric","snr","nside","drizzle","hips_verify","browser_verify"]	lib/infrastructure/pipeline/orchestrator/configs/stage1.schema.json#/execution/stop_after
threads	S4_合同schema	threads	execution.threads	minimum=0	lib/infrastructure/pipeline/orchestrator/configs/stage1.schema.json#/execution/threads
read	S4_合同schema	read	execution.stage_timeout_sec.read	exclusiveMinimum=0	lib/infrastructure/pipeline/orchestrator/configs/stage1.schema.json#/execution/stage_timeout_sec/read
calibrate	S4_合同schema	calibrate	execution.stage_timeout_sec.calibrate	exclusiveMinimum=0	lib/infrastructure/pipeline/orchestrator/configs/stage1.schema.json#/execution/stage_timeout_sec/calibrate
platesolve	S4_合同schema	platesolve	execution.stage_timeout_sec.platesolve	exclusiveMinimum=0	lib/infrastructure/pipeline/orchestrator/configs/stage1.schema.json#/execution/stage_timeout_sec/platesolve
psf	S4_合同schema	psf	execution.stage_timeout_sec.psf	exclusiveMinimum=0	lib/infrastructure/pipeline/orchestrator/configs/stage1.schema.json#/execution/stage_timeout_sec/psf
photometric	S4_合同schema	photometric	execution.stage_timeout_sec.photometric	exclusiveMinimum=0	lib/infrastructure/pipeline/orchestrator/configs/stage1.schema.json#/execution/stage_timeout_sec/photometric
snr	S4_合同schema	snr	execution.stage_timeout_sec.snr	exclusiveMinimum=0	lib/infrastructure/pipeline/orchestrator/configs/stage1.schema.json#/execution/stage_timeout_sec/snr
nside	S4_合同schema	nside	execution.stage_timeout_sec.nside	exclusiveMinimum=0	lib/infrastructure/pipeline/orchestrator/configs/stage1.schema.json#/execution/stage_timeout_sec/nside
drizzle	S4_合同schema	drizzle	execution.stage_timeout_sec.drizzle	exclusiveMinimum=0	lib/infrastructure/pipeline/orchestrator/configs/stage1.schema.json#/execution/stage_timeout_sec/drizzle
hips_verify	S4_合同schema	hips_verify	execution.stage_timeout_sec.hips_verify	exclusiveMinimum=0	lib/infrastructure/pipeline/orchestrator/configs/stage1.schema.json#/execution/stage_timeout_sec/hips_verify
hiss_verify	S4_合同schema	hiss_verify	execution.stage_timeout_sec.hiss_verify	exclusiveMinimum=0	lib/infrastructure/pipeline/orchestrator/configs/stage1.schema.json#/execution/stage_timeout_sec/hiss_verify
browser_verify	S4_合同schema	browser_verify	execution.stage_timeout_sec.browser_verify	exclusiveMinimum=0	lib/infrastructure/pipeline/orchestrator/configs/stage1.schema.json#/execution/stage_timeout_sec/browser_verify
calibration.mode	S4_合同schema	calibration.mode	calibration.mode	const="standard"	lib/infrastructure/pipeline/orchestrator/configs/stage1.schema.json#/if/calibration/mode
calibration.mode	S4_合同schema	calibration.mode	calibration.mode	enum=["optimal","exposure_ratio"]	lib/infrastructure/pipeline/orchestrator/configs/stage1.schema.json#/if/calibration/mode
master_bias	S6_登记册	master_bias	master_bias	declared_default=null	eng/packaging/config/config_registry.json#plugin_knobs[0] registered_key=blocks[].master_bias (doc docs/plugins/algorithms_phase1/01_calibration.md:44, module 01_calibration, finding=none)
bias_path	S6_登记册	bias_path	bias_path	declared_default=null	eng/packaging/config/config_registry.json#plugin_knobs[0] field=bias_path (doc docs/plugins/algorithms_phase1/01_calibration.md:44, module 01_calibration, finding=none)
