符号,预分档,位点数,跨文件数,值样例,值形态,有单位,登记面点名数,点名位置样例,来源现状样例,位点样例
darkscl,残余B·带单位的科学量,1,1,1.0,一般数值,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/infrastructure/aio/include/hiss_format.h:311
data_max,残余B·带单位的科学量,1,1,1.0f,其他,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/infrastructure/hips_browser/healpix_browser_qt/core/hips_sky_view.h:97
data_max_,残余B·带单位的科学量,2,2,1.0f,其他,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/infrastructure/hips_browser/healpix_browser_qt/core/browser_backend.h:225 ; lib/infrastructure/hips_browser/healpix_browser_qt/widgets/abstract_view.cpp:261
data_min,残余B·带单位的科学量,2,2,0.0f | 0.0f;1.0f,其他,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/infrastructure/hips_browser/healpix_browser_qt/core/browser_backend.h:128 ; lib/infrastructure/hips_browser/healpix_browser_qt/core/hips_sky_view.h:96
data_min_,残余B·带单位的科学量,2,2,0.0f,其他,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/infrastructure/hips_browser/healpix_browser_qt/core/browser_backend.h:224 ; lib/infrastructure/hips_browser/healpix_browser_qt/widgets/abstract_view.cpp:260
data_var,残余D·语义未明（需读用途）,1,1,0.0,小于 1 的小数,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/integration/v6/src/variance_propagation.cpp:186
datamax,残余B·带单位的科学量,1,1,0.0,小于 1 的小数,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/infrastructure/scheduler/src/module_adapters.cpp:1295
db,局部量噪声（不入科学判读）,1,1,0.0,小于 1 的小数,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/coverage/src/sky_plane.cpp:1020
dbg_reject_px,残余B·带单位的科学量,1,1,9.73,一般数值,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/coverage/tools/stage2.cpp:834
ddec,残余D·语义未明（需读用途）,1,1,180.0,一般数值,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/platesolve/wrapper_phase1/wcs_tan.cpp:46
dec,局部量噪声（不入科学判读）,12,9,-1.0;1.0 | -89.0 | -90.0 | 0.0,一般数值,是,32,ACCEPTANCE_SPEC.md ; docs/algorithms/DRIZZLE_GEOMETRY.md ; docs/algorithms/GAIA_QUERY.md,无来源（代码内字面量，未见文档/文献锚）,lib/infrastructure/hips_browser/healpix_browser_qt/app/browser_cli.cpp:251 ; lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:417 ; lib/algorithms/drizzle/healpix_drizzle/healpix_core.h:52 ; 
dec0,残余A·登记面点名但无支撑,6,4,-1.0;1.0 | 0.0 | 180.0,其他,是,6,docs/algorithms/PHASE3_PROJ_IMPL.md ; docs/architecture/api_inventory.csv ; docs/contracts/API_CONTRACTS.csv,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/coverage/include/astro/phase2/stage2_common.h:492 ; lib/algorithms/platesolve/cpp/ipv/include/ipv_solver.h:20 ; lib/algorithms/platesolve/cpp/ipv/include/ipv_solver.h:127 ; lib/algorith
dec0_,残余D·语义未明（需读用途）,1,1,-89.9f;89.9f,其他,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/infrastructure/hips_browser/healpix_browser_qt/core/hips_sky_view.cpp:99
dec0_deg,残余A·登记面点名但无支撑,1,1,-1.0;1.0;180.0,其他,是,2,docs/architecture/api_inventory.csv ; docs/contracts/API_CONTRACTS.csv,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/coverage/src/sky_plane.cpp:610
dec0_rad,残余D·语义未明（需读用途）,1,1,180.0,一般数值,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/platesolve/cpp/ipv/src/ipv_wcs.cpp:806
dec1,残余D·语义未明（需读用途）,1,1,-90.0;180.0,其他,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/infrastructure/hips_browser/healpix_browser_qt/core/gl_renderer.cpp:1924
dec2,残余D·语义未明（需读用途）,2,2,-90.0;180.0 | 0.5,小于 1 的小数,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/infrastructure/hips_browser/healpix_browser_qt/app/browser_cli.cpp:473 ; lib/infrastructure/hips_browser/healpix_browser_qt/core/gl_renderer.cpp:1925
decR,残余D·语义未明（需读用途）,1,1,180.0,一般数值,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/shared/healpix/healpix_core.cpp:444
dec_deg,残余A·登记面点名但无支撑,6,4,0.0 | 180.0,小于 1 的小数,是,14,docs/algorithms/HIPS_WRITER.md ; docs/algorithms/PHASE2_SAMPLER.md ; docs/algorithms/PHASE3_PROJ_IMPL.md,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/coverage/src/upm.cpp:70 ; lib/algorithms/shared/healpix/healpix_core.cpp:250 ; lib/algorithms/shared/healpix/healpix_core.cpp:266 ; lib/infrastructure/hips_browser/healpix_browser_qt/co
dec_max,残余A·登记面点名但无支撑,1,1,2.0,一般数值,是,1,docs/algorithms/GAIA_QUERY.md,无来源（行内字面量，未见文档/文献锚）,lib/infrastructure/hips_browser/healpix_browser_qt/core/gl_renderer.cpp:853
dec_min,残余A·登记面点名但无支撑,2,2,-90.0;90.0 | 2.0,其他,是,1,docs/algorithms/GAIA_QUERY.md,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/projection/p3_proj_v6.cpp:599 ; lib/infrastructure/hips_browser/healpix_browser_qt/core/gl_renderer.cpp:852
dec_rad,残余D·语义未明（需读用途）,3,2,180.0,一般数值,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/platesolve/cpp/ipv/src/ipv_wcs.cpp:804 ; lib/infrastructure/hips_browser/healpix_browser_qt/core/gl_renderer.cpp:863 ; lib/infrastructure/hips_browser/healpix_browser_qt/core/gl_rendere
decode_ms,残余D·语义未明（需读用途）,1,1,0.0,小于 1 的小数,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/infrastructure/hips_browser/healpix_browser_qt/core/hips_sky_view.h:95
decode_p95,残余D·语义未明（需读用途）,1,1,.1f;.3f,其他,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/infrastructure/hips_browser/healpix_browser_qt/app/browser_cli.cpp:765
def,局部量噪声（不入科学判读）,2,2,0.0,小于 1 的小数,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/infrastructure/aio/src/aio_fits.cpp:386 ; lib/infrastructure/aio/src/aio_xisf.cpp:383
default_val,残余D·语义未明（需读用途）,2,1,0 | 0.0,整数/整幂/科学计数,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/infrastructure/pipeline/orchestrator/cpp/src/checkpoint.cpp:141 ; lib/infrastructure/pipeline/orchestrator/cpp/src/checkpoint.cpp:171
deficit,残余A·登记面点名但无支撑,3,3,0.0,小于 1 的小数,是,4,docs/contracts/DATA_SEMANTICS.md ; docs/validation/v6/QA_MATRIX.md ; eng/contracts/data/v6_clause_registry_v1.json,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/drizzle/healpix_drizzle/v6_drizzle_science.h:336 ; lib/algorithms/integration/v6/src/phase2_integrate.cpp:625 ; lib/algorithms/integration/v6_phase1/src/phase1_product.cpp:789
deg,局部量噪声（不入科学判读）,3,2,15.0 | 360.0 | 57.295779513082323,一般数值,是,47,docs/KNOWN_LIMITATIONS.md ; docs/algorithms/DRIZZLE_GEOMETRY.md ; docs/algorithms/GAIA_QUERY.md,无来源（代码内字面量，未见文档/文献锚）,lib/algorithms/platesolve/cpp/ipv/src/ipv_ransac.cpp:373 ; lib/infrastructure/scheduler/src/module_adapters.cpp:4547 ; lib/infrastructure/scheduler/src/module_adapters.cpp:4549
delta,残余A·登记面点名但无支撑,5,5,0.0 | 1.15 | 1.345,一般数值,是,19,docs/algorithms/DRIZZLE_GEOMETRY.md ; docs/algorithms/PHASE2_UPM_IMPL.md ; docs/algorithms/PHOTOMETRIC_FIT.md,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/drizzle/healpix_drizzle/spherical_overlap.cpp:1680 ; lib/algorithms/platesolve/cpp/ipv/src/ipv_distortion.cpp:222 ; lib/algorithms/platesolve/cpp/ipv/src/ipv_sip.cpp:242 ; lib/algorithm
delta_mad,残余D·语义未明（需读用途）,2,1,1.0 | 1.482602218505602,一般数值,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/platesolve/cpp/ipv/src/ipv_distortion.cpp:151 ; lib/algorithms/platesolve/cpp/ipv/src/ipv_distortion.cpp:152
den,局部量噪声（不入科学判读）,1,1,1.0,一般数值,是,2,docs/algorithms/PHASE2_UPM_IMPL.md ; docs/modules/registry/astrocs.phase3.resample2.md,无来源（代码内字面量，未见文档/文献锚）,lib/algorithms/projection/p3_proj_v6.cpp:336
den_ok,残余D·语义未明（需读用途）,1,1,0.0,小于 1 的小数,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/photometry/cpp/src/psfsw.cpp:262
