符号,预分档,位点数,跨文件数,值样例,值形态,有单位,登记面点名数,点名位置样例,来源现状样例,位点样例
mm,局部量噪声（不入科学判读）,1,1,60.0,一般数值,是,4,docs/algorithms/PHASE2_SAMPLER.md ; docs/contracts/DATA_SEMANTICS.md ; docs/contracts/PUBLIC_API.md,无来源（行内字面量，未见文档/文献锚）,lib/infrastructure/hips_browser/healpix_browser_qt/app/main_window.cpp:766
mn,局部量噪声（不入科学判读）,1,1,0.0,小于 1 的小数,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/infrastructure/scheduler/src/module_adapters.cpp:1687
moc_area_sr,残余A·登记面点名但无支撑,1,1,0.0,小于 1 的小数,是,2,docs/algorithms/HIPS_WRITER.md ; docs/contracts/DATA_SEMANTICS.md,无来源（行内字面量，未见文档/文献锚）,lib/infrastructure/aio/src/hips/aio_hips_writer.cpp:927
moc_frac,残余B·带单位的科学量,1,1,4.0,一般数值,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/infrastructure/aio/src/hips/aio_hips_writer.cpp:2277
mode,残余A·登记面点名但无支撑,1,1,.2f,其他,是,32,docs/algorithms/ACR_EQUIVALENCE.md ; docs/algorithms/GAIA_QUERY.md ; docs/algorithms/NOISE_ESTIMATION.md,无来源（行内字面量，未见文档/文献锚）,lib/infrastructure/aio/src/hiss_writer.cpp:677
model_error,残余A·登记面点名但无支撑,1,1,0.0,小于 1 的小数,是,1,eng/contracts/schemas/product_family_field_constraints.schema.json,无来源（行内字面量，未见文档/文献锚）,lib/infrastructure/aio/v6/include/astro/aio/v6_provenance.h:62
module_reported_memory,残余D·语义未明（需读用途）,1,1,8.3,一般数值,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/infrastructure/scheduler/src/runtime.cpp:183
ms,局部量噪声（不入科学判读）,3,3,0.0 | 0.0f,其他,是,4,docs/research/COMPRESSION_CODEC_RESEARCH_PACK.md ; docs/research/COMPRESSION_CODEC_RESEARCH_PACK_TABLES.md ; eng/packaging/config/runtime_resources.json,无来源（行内字面量，未见文档/文献锚）,lib/infrastructure/acr/backends/cuda/bridge/acr_cuda_bridge_host.cpp:159 ; lib/infrastructure/acr/backends/cuda/cuda_buffer.hpp:148 ; lib/infrastructure/acr/routing/benchmark_route_estimator.cpp:344
mu,局部量噪声（不入科学判读）,5,3,0.0,小于 1 的小数,是,1,docs/algorithms/PHASE2_REJECTION.md,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/coverage/src/rejection.cpp:872 ; lib/algorithms/coverage/src/rejection.cpp:900 ; lib/algorithms/star_detection/src/nls_lm.cpp:294 ; lib/algorithms/star_detection/src/nls_lm.cpp:370
mu_Ux,残余D·语义未明（需读用途）,1,1,0.0,小于 1 的小数,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/platesolve/cpp/ipv/src/ipv_ransac.cpp:207
mu_Wx,残余D·语义未明（需读用途）,1,1,0.0,小于 1 的小数,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/platesolve/cpp/ipv/src/ipv_ransac.cpp:208
mu_flat_med_before,残余B·带单位的科学量,1,1,0.0,小于 1 的小数,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/infrastructure/scheduler/src/module_adapters.cpp:2428
mx,局部量噪声（不入科学判读）,4,3,0.0,小于 1 的小数,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/noise_snr/cpp/src/noise_model.cpp:186 ; lib/algorithms/noise_snr/cpp/src/noise_model.cpp:473 ; lib/algorithms/photometry/cpp/src/psfsw.cpp:128 ; lib/algorithms/resample/p3_rsmp_covarian
mx_frames,残余D·语义未明（需读用途）,1,1,8,整数/整幂/科学计数,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/infrastructure/acr/examples/weighted_integration/weighted_integration_benchmark.cpp:933
mx_pixels,残余D·语义未明（需读用途）,1,1,1,整数/整幂/科学计数,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/infrastructure/acr/examples/weighted_integration/weighted_integration_benchmark.cpp:932
n,局部量噪声（不入科学判读）,24,11,.1f | .2f | .3 | .3f,整数/整幂/科学计数,是,72,docs/DOCUMENT_INDEX.yaml ; docs/algorithms/CALIBRATION_ALGORITHMS.md ; docs/algorithms/COSMETIC_ALGORITHMS.md,无来源（代码内字面量，未见文档/文献锚）,lib/algorithms/integration/v6/src/phase2_integrate.cpp:1363 ; lib/infrastructure/acr/qualification/benchmarks/overhead_benchmark.cpp:94 ; lib/infrastructure/aio/src/hips/aio_hips_writer.cpp:979 ; lib/
n0,局部量噪声（不入科学判读）,1,1,0.0,小于 1 的小数,是,1,docs/algorithms/PHASE2_REJECTION.md,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/platesolve/cpp/ipv/test/test_mag_iter.cpp:53
n_A,局部量噪声（不入科学判读）,1,1,.4f,其他,是,1,docs/architecture/execution_inventory.csv,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/platesolve/cpp/ipv/src/ipv_triangle.cpp:576
n_A0,残余D·语义未明（需读用途）,1,1,.4f,其他,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/platesolve/cpp/ipv/src/ipv_triangle.cpp:648
n_after,残余D·语义未明（需读用途）,2,1,180.0,一般数值,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/platesolve/cpp/ipv/test/test_select_domain.cpp:204 ; lib/algorithms/platesolve/cpp/ipv/test/test_select_domain.cpp:264
n_frames,残余A·登记面点名但无支撑,2,1,.2f,其他,是,17,docs/algorithms/CALIBRATION_ALGORITHMS.md ; docs/algorithms/INTEGRATION_ALGORITHMS.md ; docs/api/PHASE1_API_V1.md,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/calibration/src/master_generator.cpp:71 ; lib/algorithms/calibration/src/master_generator.cpp:182
n_gaia,残余A·登记面点名但无支撑,3,1,1.0,一般数值,是,4,docs/algorithms/PHOTOMETRIC_FIT.md ; docs/architecture/api_inventory.csv ; docs/architecture/execution_inventory.csv,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/photometry/cpp/src/pc_api.cpp:326 ; lib/algorithms/photometry/cpp/src/pc_api.cpp:741 ; lib/algorithms/photometry/cpp/src/pc_api.cpp:1011
n_hi,残余D·语义未明（需读用途）,1,1,1.0,一般数值,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/platesolve/cpp/ipv/src/ipv_select.cpp:717
n_inliers,残余A·登记面点名但无支撑,9,2,.2f;.4f | .4f,其他,是,1,docs/KNOWN_LIMITATIONS.md,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/platesolve/cpp/ipv/src/ipv_ransac.cpp:488 ; lib/algorithms/platesolve/cpp/ipv/src/ipv_ransac.cpp:581 ; lib/algorithms/platesolve/cpp/ipv/src/ipv_ransac.cpp:715 ; lib/algorithms/platesol
n_iter,残余D·语义未明（需读用途）,2,1,.4f | .6f,其他,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/platesolve/cpp/ipv/src/ipv_ransac.cpp:723 ; lib/algorithms/platesolve/cpp/ipv/src/ipv_ransac.cpp:1491
n_iterations,残余D·语义未明（需读用途）,2,1,.4f;.6f,其他,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/platesolve/cpp/ipv/src/ipv_solver.cpp:598 ; lib/algorithms/platesolve/cpp/ipv/src/ipv_solver.cpp:998
n_leaf,残余A·登记面点名但无支撑,2,1,512,整数/整幂/科学计数,是,3,docs/algorithms/PHASE2_MOSAIC_WRITE.md ; docs/architecture/execution_inventory.csv ; docs/modules/registry/astrocs.phase2.write.md,无来源（代码内字面量，未见文档/文献锚）,lib/algorithms/drizzle/healpix_drizzle/astro_sphere_sink.cpp:104 ; lib/algorithms/drizzle/healpix_drizzle/astro_sphere_sink.cpp:329
n_lo,残余D·语义未明（需读用途）,1,1,1.0,一般数值,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/platesolve/cpp/ipv/src/ipv_select.cpp:716
n_matched,残余A·登记面点名但无支撑,15,2,.2f | .4f | .6;.6f,其他,是,4,docs/algorithms/GATES_AND_TOLERANCES.md ; docs/contracts/DATA_SEMANTICS.md ; docs/contracts/PUBLIC_API.md,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/photometry/cpp/src/pc_api.cpp:162 ; lib/algorithms/photometry/cpp/src/pc_api.cpp:456 ; lib/algorithms/photometry/cpp/src/pc_api.cpp:615 ; lib/algorithms/photometry/cpp/src/pc_api.cpp:86
n_pairs,残余A·登记面点名但无支撑,3,1,.3f,其他,是,6,docs/algorithms/GATES_AND_TOLERANCES.md ; docs/algorithms/PLATESOLVE.md ; docs/contracts/DATA_SEMANTICS.md,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/platesolve/cpp/ipv/src/ipv_solver.cpp:786 ; lib/algorithms/platesolve/cpp/ipv/src/ipv_solver.cpp:1174 ; lib/algorithms/platesolve/cpp/ipv/src/ipv_solver.cpp:1449
n_passed,残余D·语义未明（需读用途）,1,1,.2f,其他,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/platesolve/cpp/ipv/src/ipv_polygon.cpp:426
n_pix,残余A·登记面点名但无支撑,4,3,.1f | .6f | 512,整数/整幂/科学计数,是,4,docs/algorithms/CALIBRATION_ALGORITHMS.md ; docs/architecture/api_inventory.csv ; docs/contracts/API_CONTRACTS.csv,无来源（代码内字面量，未见文档/文献锚）,lib/infrastructure/pipeline/orchestrator/cpp/src/orchestrator.cpp:3958 ; lib/infrastructure/hips_browser/healpix_browser_qt/app/browser_cli.cpp:1204 ; lib/infrastructure/hips_browser/healpix_browser_q
n_points,残余A·登记面点名但无支撑,6,4,.0f | .2f;.4f | .6f | .6f;2.0,一般数值,是,4,docs/architecture/api_inventory.csv ; docs/contracts/CONFIG_CONTRACT.md ; docs/science/PHOTOMETRY.md,无来源（代码内字面量，未见文档/文献锚）,lib/algorithms/photometry/cpp/test/test_spectrum_integrator.cpp:72 ; lib/algorithms/noise_snr/cpp/src/snr_estimator.cpp:695 ; lib/algorithms/noise_snr/cpp/src/snr_estimator.cpp:800 ; lib/algorithms/no
n_points_field,残余D·语义未明（需读用途）,1,1,0.0,小于 1 的小数,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/photometry/cpp/src/filter_curve_json.h:221
n_ret,残余A·登记面点名但无支撑,2,2,1.0,一般数值,是,2,docs/algorithms/PHASE2_SAMPLER.md ; docs/contracts/DATA_SEMANTICS.md,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/coverage/src/sampler.cpp:873 ; lib/algorithms/coverage/src/sky_plane.cpp:305
n_retained,残余A·登记面点名但无支撑,1,1,.2f,其他,是,1,docs/algorithms/PHASE2_SAMPLER.md,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/coverage/src/sky_plane.cpp:312
n_sat,残余A·登记面点名但无支撑,1,1,.60,小于 1 的小数,是,1,docs/algorithms/PLATESOLVE.md,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/platesolve/cpp/ipv/test/test_select_domain.cpp:317
n_sky,残余A·登记面点名但无支撑,3,3,0.0,小于 1 的小数,是,1,docs/references/PHOTOMETRY_LITERATURE_REVIEW_ARCHIVE.md,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/noise_snr/cpp/src/snr_science.cpp:226 ; lib/algorithms/noise_snr/wrapper_phase1/snr_frame_science.h:53 ; lib/infrastructure/scheduler/src/module_adapters.cpp:6798
n_source,残余A·登记面点名但无支撑,2,1,.3f,其他,是,1,docs/algorithms/DRIZZLE_GEOMETRY.md,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:1180 ; lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:2461
n_stars,残余A·登记面点名但无支撑,4,3,.1f | .4f | 120,一般数值,是,7,docs/algorithms/NOISE_ESTIMATION.md ; docs/algorithms/STAR_PSF_ALGORITHMS.md ; docs/architecture/api_inventory.csv,无来源（代码内字面量，未见文档/文献锚）,lib/algorithms/noise_snr/cpp/test/snr_reconcile_test.cpp:71 ; lib/algorithms/noise_snr/cpp/src/snr_estimator.cpp:167 ; lib/algorithms/noise_snr/cpp/src/snr_estimator.cpp:339 ; lib/algorithms/platesolv
n_target,残余A·登记面点名但无支撑,5,1,4.22 | 60,一般数值,是,6,docs/algorithms/PLATESOLVE.md ; docs/architecture/api_inventory.csv ; docs/contracts/API_CONTRACTS.csv,无来源（代码内字面量，未见文档/文献锚）,lib/algorithms/platesolve/cpp/ipv/src/ipv_solver.cpp:1210 ; lib/algorithms/platesolve/cpp/ipv/src/ipv_solver.cpp:451 ; lib/algorithms/platesolve/cpp/ipv/src/ipv_solver.cpp:462 ; lib/algorithms/plateso
n_target_eff,残余D·语义未明（需读用途）,1,1,0.0,小于 1 的小数,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/platesolve/cpp/ipv/include/ipv_select.h:88
n_target_used,残余D·语义未明（需读用途）,3,1,.2f | .2f;4.22,其他,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/platesolve/cpp/ipv/src/ipv_solver.cpp:480 ; lib/algorithms/platesolve/cpp/ipv/src/ipv_solver.cpp:886 ; lib/algorithms/platesolve/cpp/ipv/src/ipv_solver.cpp:1225
n_used,残余A·登记面点名但无支撑,1,1,.6,小于 1 的小数,是,6,docs/algorithms/INTEGRATION_ALGORITHMS.md ; docs/algorithms/PHASE2_INTEGRATION.md ; docs/contracts/DATA_SEMANTICS.md,无来源（行内字面量，未见文档/文献锚）,lib/infrastructure/scheduler/src/module_adapters.cpp:10119
n_valid,残余A·登记面点名但无支撑,3,2,.2f | .6f,其他,是,6,docs/algorithms/NOISE_ESTIMATION.md ; docs/algorithms/PHASE2_MOSAIC_WRITE.md ; docs/algorithms/PHASE2_SAMPLER.md,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/noise_snr/cpp/src/snr_estimator.cpp:230 ; lib/algorithms/noise_snr/cpp/src/snr_estimator.cpp:399 ; lib/infrastructure/aio/src/hiss_writer.cpp:621
n_worker_ns,残余D·语义未明（需读用途）,1,1,-1.0,一般数值,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/infrastructure/cli/resource_gate.h:176
naive,残余A·登记面点名但无支撑,1,1,1.0,一般数值,是,2,docs/plugins/algorithms_phase2/11_upm.md ; eng/contracts/data/v6_clause_registry_v1.json,无来源（代码内字面量，未见文档/文献锚）,lib/algorithms/integration/v6/src/variance_propagation.cpp:216
naive_variance,残余D·语义未明（需读用途）,5,4,0.0 | 0.0;1.0,小于 1 的小数,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/calibration/include/astrocs/calibration/v6_calibration_covariance.h:232 ; lib/algorithms/calibration/src/v6_calibration_covariance.cpp:534 ; lib/algorithms/integration/v6/include/astroc
narrow_fov_all,残余D·语义未明（需读用途）,1,1,1.0,一般数值,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/platesolve/cpp/ipv/src/ipv_robust_refine.cpp:244
neg,局部量噪声（不入科学判读）,1,1,0.0,小于 1 的小数,是,4,docs/api/CLI_PROTOCOL_V1.md ; docs/plugins/algorithms_phase1/03_star_detection.md ; eng/contracts/schemas/phase_config_normalize.schema.json,无来源（行内字面量，未见文档/文献锚）,lib/infrastructure/scheduler/src/module_adapters.cpp:4542
negative,残余A·登记面点名但无支撑,1,1,0.0,小于 1 的小数,是,14,docs/algorithms/GAIA_QUERY.md ; docs/algorithms/PLATESOLVE.md ; docs/architecture/PERFORMANCE_MODEL.md,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/psf/src/psf_information.cpp:31
nested,残余A·登记面点名但无支撑,2,1,0.0,小于 1 的小数,是,17,ASTROCS_DESIGN.md ; docs/algorithms/DRIZZLE_GEOMETRY.md ; docs/architecture/api_inventory.csv,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/drizzle/src/module_entry.cpp:418 ; lib/algorithms/drizzle/src/module_entry.cpp:1153
next,残余A·登记面点名但无支撑,1,1,0.5,小于 1 的小数,是,2,docs/algorithms/PHASE2_REJECTION.md ; docs/research/CCD_LINEAR_DEFECT_LITERATURE.md,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/star_detection/src/nls_lm.cpp:217
nlen,残余D·语义未明（需读用途）,1,1,1.0,一般数值,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/drizzle/healpix_drizzle/spherical_overlap.cpp:1151
nm_data_scale,残余A·登记面点名但无支撑,1,1,1.0,一般数值,是,1,docs/science/NOISE_MODEL.md,无来源（行内字面量，未见文档/文献锚）,lib/infrastructure/scheduler/src/module_adapters.cpp:7979
nm_ivar,残余D·语义未明（需读用途）,1,1,0.0,小于 1 的小数,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/infrastructure/scheduler/src/module_adapters.cpp:7088
nm_sigma,残余B·带单位的科学量,1,1,0.0,小于 1 的小数,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/infrastructure/scheduler/src/module_adapters.cpp:7086
nm_variance,残余D·语义未明（需读用途）,1,1,0.0,小于 1 的小数,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/infrastructure/scheduler/src/module_adapters.cpp:7087
nnz,局部量噪声（不入科学判读）,1,1,3,一般数值,是,2,docs/architecture/ISA_VARIANTS.md ; docs/architecture/cpu/CPU_003_AVX2_PROVIDER.md,无来源（代码内字面量，未见文档/文献锚）,lib/infrastructure/benchmark/backend_host/profile_gen_v2.cpp:241
no_data,残余D·语义未明（需读用途）,1,1,0.0,小于 1 的小数,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:615
no_data_as_zero,残余D·语义未明（需读用途）,2,1,0.0 | 1.0,一般数值,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/drizzle/src/module_entry.cpp:1056 ; lib/algorithms/drizzle/src/module_entry.cpp:1168
no_data_value,残余D·语义未明（需读用途）,2,1,0.0f,其他,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/infrastructure/hips_browser/healpix_browser_qt/core/stf_engine.h:86 ; lib/infrastructure/hips_browser/healpix_browser_qt/core/stf_engine.h:101
node_reproduction_max_abs,残余A·登记面点名但无支撑,1,1,0.0,小于 1 的小数,是,1,docs/plugins/algorithms_phase2/13_integration.md,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/integration/v6/include/astrocs/v6/weight_chain.h:167
node_residual_,残余D·语义未明（需读用途）,2,2,0.0,小于 1 的小数,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/integration/v6/include/astrocs/v6/weight_chain.h:218 ; lib/algorithms/integration/v6/src/weight_chain.cpp:363
node_spacing_deg,残余A·登记面点名但无支撑,3,1,0.0,小于 1 的小数,是,2,docs/contracts/DATA_SEMANTICS.md ; docs/science/PHASE2_UPM.md,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/coverage/src/sky_plane.cpp:454 ; lib/algorithms/coverage/src/sky_plane.cpp:1941 ; lib/algorithms/coverage/src/sky_plane.cpp:1962
node_spacing_lower_deg,残余A·登记面点名但无支撑,3,1,0.0,小于 1 的小数,是,1,docs/contracts/DATA_SEMANTICS.md,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/coverage/src/sky_plane.cpp:489 ; lib/algorithms/coverage/src/sky_plane.cpp:1907 ; lib/algorithms/coverage/src/sky_plane.cpp:1940
node_spacing_px,残余D·语义未明（需读用途）,1,1,3600.0,一般数值,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/coverage/src/sky_plane.cpp:441
node_spacing_upper_deg,残余A·登记面点名但无支撑,3,1,0.0,小于 1 的小数,是,1,docs/contracts/DATA_SEMANTICS.md,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/coverage/src/sky_plane.cpp:488 ; lib/algorithms/coverage/src/sky_plane.cpp:1906 ; lib/algorithms/coverage/src/sky_plane.cpp:1939
noexcept,残余D·语义未明（需读用途）,1,1,0,整数/整幂/科学计数,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/include/astrocs/core/module.h:70
noise.clip_sigma,已有支撑（本轮不派）,1,1,5.0,一般数值,是,1,eng/packaging/config/defaults.json,有文献（SCI §5 冻结 5σ）,eng/packaging/config/defaults.json:135
noise.mask_budget_min_patches,已有支撑（本轮不派）,1,1,8,整数/整幂/科学计数,是,1,eng/packaging/config/defaults.json,可公式导出（下限 4 可导；8=2× 余量无据）,eng/packaging/config/defaults.json:261
noise.mask_budget_min_sky,已有支撑（本轮不派）,1,1,9216,一般数值,是,1,eng/packaging/config/defaults.json,可公式导出,eng/packaging/config/defaults.json:275
noise.mask_fwhm_floor_scale,已有支撑（本轮不派）,1,1,0.75,小于 1 的小数,是,3,docs/science/NOISE_MODEL.md ; eng/packaging/config/config_registry.json ; eng/packaging/config/defaults.json,有文献（SCI §5a 同式）但**导出式未写**,eng/packaging/config/defaults.json:247
noise.mask_k_sigma,已有支撑（本轮不派）,1,1,0.1,小于 1 的小数,是,2,docs/science/NOISE_MODEL.md ; eng/packaging/config/defaults.json,可公式导出（配 SCI §11 源污染 oracle）,eng/packaging/config/defaults.json:219
noise.mask_r_min_px,已有支撑（本轮不派）,1,1,1.5,一般数值,是,2,docs/science/NOISE_MODEL.md ; eng/packaging/config/defaults.json,有文献（SCI §5a 同式）,eng/packaging/config/defaults.json:233
noise.mask_radius_scale,已有支撑（本轮不派）,1,1,6,一般数值,是,1,eng/packaging/config/defaults.json,可公式导出（同 rmax 式）,eng/packaging/config/defaults.json:121
noise.max_clip_rounds,已有支撑（本轮不派）,1,1,2,整数/整幂/科学计数,是,2,eng/packaging/config/config_registry.json ; eng/packaging/config/defaults.json,有文献（SCI §5 冻结 ≤2 轮）,eng/packaging/config/defaults.json:163
noise.min_patch_samples,已有支撑（本轮不派）,1,1,64,整数/整幂/科学计数,是,1,eng/packaging/config/defaults.json,有文献（SCI §4 默认 64）,eng/packaging/config/defaults.json:149
noise.patch_grid,已有支撑（本轮不派）,1,1,"[8, 8]",其他,是,1,eng/packaging/config/defaults.json,有文献（SCI §5 冻结定义）,eng/packaging/config/defaults.json:90
noise.saturation_level,已有支撑（本轮不派）,1,1,0,整数/整幂/科学计数,是,3,docs/contracts/CONFIG_CONTRACT.md ; eng/contracts/schemas/phase_config_normalize.schema.json ; eng/packaging/config/defaults.json,需实验标定（缺失代价已由实验量化）,eng/packaging/config/defaults.json:177
noise.source_mask_radius_px,已有支撑（本轮不派）,1,1,10,一般数值,是,1,eng/packaging/config/defaults.json,可公式导出（只在上界式里有意义）,eng/packaging/config/defaults.json:107
noise.spatial_field_enabled,已有支撑（本轮不派）,1,1,1,整数/整幂/科学计数,是,1,eng/packaging/config/defaults.json,有文献（SCI §4 启用条件）,eng/packaging/config/defaults.json:191
noise.variance_floor,残余A·登记面点名但无支撑,1,1,1e-12,整数/整幂/科学计数,是,2,docs/contracts/CONFIG_CONTRACT.md ; eng/packaging/config/defaults.json,无来源（数量级拍定，未给物理或数值推导）,eng/packaging/config/defaults.json:205
noise_floor_dex,残余D·语义未明（需读用途）,2,2,0.0,小于 1 的小数,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/photometry/cpp/src/spatial_gain.cpp:621 ; lib/algorithms/photometry/cpp/src/spatial_gain.h:135
noise_floor_max_dex,残余B·带单位的科学量,2,2,0.0,小于 1 的小数,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/photometry/cpp/src/spatial_gain.cpp:622 ; lib/algorithms/photometry/cpp/src/spatial_gain.h:136
noise_sigma,残余A·登记面点名但无支撑,1,1,0.0,小于 1 的小数,是,5,docs/algorithms/GATES_AND_TOLERANCES.md ; docs/algorithms/STAR_DETECTION_ALGORITHMS.md ; docs/plugins/algorithms_phase1/07_noise_snr.md,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/star_detection/wrapper_phase1/star_detector.h:28
norm,残余A·登记面点名但无支撑,10,5,0.0 | 0.0f | 1.0f | 255.0,一般数值,是,10,docs/algorithms/CALIBRATION_ALGORITHMS.md ; docs/algorithms/DRIZZLE_GEOMETRY.md ; docs/algorithms/PHASE2_REJECTION.md,无来源（代码内字面量，未见文档/文献锚）,lib/algorithms/star_detection/src/sdet_api.cpp:1823 ; lib/algorithms/star_detection/src/sdet_api.cpp:2562 ; lib/algorithms/coverage/src/identifiability.cpp:92 ; lib/algorithms/coverage/src/identifiabi
norm_abs_error,残余D·语义未明（需读用途）,2,2,0.0 | 1.0,小于 1 的小数,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/psf/include/astrocs/v6/psf_information.h:44 ; lib/algorithms/psf/src/psf_information.cpp:49
norm_median_target,残余D·语义未明（需读用途）,2,2,0.0,小于 1 的小数,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/integration/v6_phase1/include/astrocs/v6/phase1_product.h:189 ; lib/algorithms/integration/v6_phase1/src/phase1_product.cpp:1238
normalized,残余A·登记面点名但无支撑,2,1,0.0 | 255.0,小于 1 的小数,是,6,docs/algorithms/CALIBRATION_ALGORITHMS.md ; docs/contracts/DATA_SEMANTICS.md ; docs/research/CCD_LINEAR_DEFECT_LITERATURE.md,无来源（行内字面量，未见文档/文献锚）,lib/infrastructure/hips_browser/healpix_browser_qt/core/browser_backend.cpp:653 ; lib/infrastructure/hips_browser/healpix_browser_qt/core/browser_backend.cpp:654
now,局部量噪声（不入科学判读）,1,1,0.0,小于 1 的小数,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/infrastructure/scheduler/src/memory_pressure.cpp:273
npix_order,残余B·带单位的科学量,3,1,12,一般数值,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/infrastructure/aio/src/hips/aio_hips_writer.cpp:1274 ; lib/infrastructure/aio/src/hips/aio_hips_writer.cpp:1494 ; lib/infrastructure/aio/src/hips/aio_hips_writer.cpp:1686
npix_total,残余D·语义未明（需读用途）,1,1,12,一般数值,是,0,,无来源（代码内字面量，未见文档/文献锚）,lib/algorithms/drizzle/healpix_drizzle/reverse_drizzle.cpp:330
nr,局部量噪声（不入科学判读）,3,1,.4f | .6f | 4.23,一般数值,是,1,docs/algorithms/PHASE2_SAMPLER.md,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/platesolve/cpp/ipv/src/ipv_itertrans.cpp:431 ; lib/algorithms/platesolve/cpp/ipv/src/ipv_itertrans.cpp:571 ; lib/algorithms/platesolve/cpp/ipv/src/ipv_itertrans.cpp:654
nrm,局部量噪声（不入科学判读）,1,1,0.0,小于 1 的小数,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/algorithms/coverage/src/sky_plane.cpp:765
ns_per_item,残余D·语义未明（需读用途）,2,2,0.0 | 1.0;10.0,其他,是,0,,无来源（行内字面量，未见文档/文献锚）,lib/infrastructure/acr/qualification/focused/focused_benchmark.cpp:664 ; lib/infrastructure/acr/qualification/focused/operation_profile.hpp:36
nside,残余A·登记面点名但无支撑,11,7,.2 | .2f | .3f | .3f;.6f,整数/整幂/科学计数,是,36,docs/GLOSSARY.md ; docs/KNOWN_LIMITATIONS.md ; docs/algorithms/DRIZZLE_GEOMETRY.md,无来源（代码内字面量，未见文档/文献锚）,lib/algorithms/coverage/tools/stage2.cpp:752 ; lib/algorithms/coverage/src/upm.cpp:440 ; lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:839 ; lib/algorithms/drizzle/healpix_drizzle/drizzle_
