符号,细分档,位点数,值样例,登记面,证据/失效详情
index,A-1 登记面点名但无出处字段,1,0.5,,
initial,A-1 登记面点名但无出处字段,1,.4f,,
initial_dec,A-1 登记面点名但无出处字段,1,0.0,,
initial_ra,A-1 登记面点名但无出处字段,1,0.0,,
inliers,A-1 登记面点名但无出处字段,7,.4f | .6f,,
int64_t,A-1 登记面点名但无出处字段,1,0,,
invalid_input,A-1 登记面点名但无出处字段,1,0.0,,
io_wait_pct,A-1 登记面点名但无出处字段,1,0.0,,
io_wait_pct_mean,A-1 登记面点名但无出处字段,1,0.0,,
iter,A-1 登记面点名但无出处字段,10,.1f | .1f;.3f | .1f;.4f | .1f;.6f,,
iterations,A-1 登记面点名但无出处字段,1,.6,,
iterativeClipSigma,A-1 登记面点名但无出处字段,6,5.0f | 9.0f,,
ivar,A-1 登记面点名但无出处字段,5,0.0 | 0.0;1.0 | 1.0,,
ivar_bg_global,A-1 登记面点名但无出处字段,2,1.0,,
kChunk,A-1 登记面点名但无出处字段,1,16,,
kControlCorrDefault,A-1 登记面点名但无出处字段,1,1.4,,
kHotSlots,A-1 登记面点名但无出处字段,1,8,,
kLeafPx,A-1 登记面点名但无出处字段,1,512,,
kMaxAbsDec,A-1 登记面点名但无出处字段,3,85.0,,
kMaxSide,A-1 登记面点名但无出处字段,3,20000,,
kObjImproveFloor,A-1 登记面点名但无出处字段,1,1e-12,,
kP1FrameMemSafetyFrac,A-1 登记面点名但无出处字段,1,0.75,,
kP1GuidedMaxStarsLo,A-1 登记面点名但无出处字段,1,20000,,
kP2TileLeafSpan,A-1 登记面点名但无出处字段,1,512,,
kP3ProjectionRegistryVersion,A-1 登记面点名但无出处字段,1,1,,
kPiHalf,A-1 登记面点名但无出处字段,2,1.57079632679489661923,,
kPlaneGeomRatio,A-1 登记面点名但无出处字段,1,0.0625,,
kProjectionRegistryVersion,A-1 登记面点名但无出处字段,2,2.2 | 3,,
kRad,A-1 登记面点名但无出处字段,3,180.0,,
kReaderBuf,A-1 登记面点名但无出处字段,1,512,,
kSnrCatalogMax,A-1 登记面点名但无出处字段,1,1,,
kStallPatience,A-1 登记面点名但无出处字段,1,5,,
kTileShift,A-1 登记面点名但无出处字段,4,9,,
kTileWidth,A-1 登记面点名但无出处字段,3,512,,
k_corr,A-1 登记面点名但无出处字段,3,0.0 | 0.0;1.4 | 1.4,,
k_photo,A-1 登记面点名但无出处字段,5,1.0,,
k_sigma,A-1 登记面点名但无出处字段,2,0.0;0.1 | 1.482602218505602,,
kappa,A-1 登记面点名但无出处字段,6,0.0,,
kcorr_f,A-1 登记面点名但无出处字段,1,0.0,,
lambda,A-1 登记面点名但无出处字段,2,0.3 | 1.0,,
lambda_numerical,A-1 登记面点名但无出处字段,4,.3 | 0.0,,
last,A-1 登记面点名但无出处字段,1,0.0,,
last_error,A-1 登记面点名但无出处字段,3,.3 | 0.0 | 85.0,,
layer,A-1 登记面点名但无出处字段,2,.4f | 100.0,,
left,A-1 登记面点名但无出处字段,1,0.0,,
legacy_allow_weight_fallback,A-1 登记面点名但无出处字段,1,9.73,,
link_rad,A-1 登记面点名但无出处字段,1,1.6,,
load,A-1 登记面点名但无出处字段,4,0.0 | 0.0;1.0,,
local,A-1 登记面点名但无出处字段,1,0.0,,
local_ivar_map,A-1 登记面点名但无出处字段,1,9.73,,
location,A-1 登记面点名但无出处字段,3,.2;.6f | .6f,,
locthreshold,A-1 登记面点名但无出处字段,1,5.0,,
low_fraction,A-1 登记面点名但无出处字段,2,0.1;0.2 | 0.2,,
lower,A-1 登记面点名但无出处字段,2,3.5;5.0 | 5.0,,
lower_sigma,A-1 登记面点名但无出处字段,8,3.0;4.0 | 4.0,,
lsigma,A-1 登记面点名但无出处字段,1,1.482602218505602f,,
m_dx2,A-1 登记面点名但无出处字段,2,0.0 | 1.0,,
m_dxdy,A-1 登记面点名但无出处字段,1,0.0,,
m_lim,A-1 登记面点名但无出处字段,2,.3f | 0.0,,
m_lim_safety,A-1 登记面点名但无出处字段,2,3.0 | 5.0,,
m_lim_zero_step,A-1 登记面点名但无出处字段,1,3.0,,
m_sweep_first,A-1 登记面点名但无出处字段,1,0.0,,
m_sweep_last,A-1 登记面点名但无出处字段,1,0.0,,
mag_max,A-1 登记面点名但无出处字段,12,.1f | 16.0 | 20.0,,
mag_max_arr,A-1 登记面点名但无出处字段,1,.16,,
mag_min,A-1 登记面点名但无出处字段,6,.1f;.3f | 0.0 | 6.0 | 8.0,,
mag_tolerance,A-1 登记面点名但无出处字段,1,3.0,,
mask_budget_min_sky,A-1 登记面点名但无出处字段,1,1.5,,
mask_fwhm_floor_scale,A-1 登记面点名但无出处字段,1,0.75,,
mask_k_sigma,A-1 登记面点名但无出处字段,1,0.1;0.5,,
mask_r_min_px,A-1 登记面点名但无出处字段,1,0.75;1.5,,
mask_radius_scale,A-1 登记面点名但无出处字段,1,6.0,,
match_radius_px,A-1 登记面点名但无出处字段,1,2.0,,
max,A-1 登记面点名但无出处字段,3,0.0 | 100000,,
maxAxisRatio,A-1 登记面点名但无出处字段,6,2.0f,,
max_abs,A-1 登记面点名但无出处字段,3,0.0,,
max_abs_rho,A-1 登记面点名但无出处字段,2,0.0,,
max_ang,A-1 登记面点名但无出处字段,1,0.0,,
max_angle,A-1 登记面点名但无出处字段,4,0.0,,
max_cg,A-1 登记面点名但无出处字段,1,200,,
max_dC,A-1 登记面点名但无出处字段,1,0.0,,
max_dM,A-1 登记面点名但无出处字段,1,0.0,,
max_iter,A-1 登记面点名但无出处字段,2,.4f | 256,,
max_r,A-1 登记面点名但无出处字段,2,0.0,,
max_rel,A-1 登记面点名但无出处字段,2,0.0,,
max_rel_dev,A-1 登记面点名但无出处字段,1,0.0,,
max_systematic_deviation,A-1 登记面点名但无出处字段,1,0.0,,
max_val,A-1 登记面点名但无出处字段,1,0.0f;1.0f,,
maxdev,A-1 登记面点名但无出处字段,1,0.0,,
maxi,A-1 登记面点名但无出处字段,3,0.0,,
mean,A-1 登记面点名但无出处字段,11,.2f | 0.0,,
mean_abs_rho,A-1 登记面点名但无出处字段,1,0.0,,
meanhigh,A-1 登记面点名但无出处字段,3,0.0,,
median,A-1 登记面点名但无出处字段,15,.1f;.4f | .4f | .4f;0.5;99.5 | .6f,,
median_abs_r,A-1 登记面点名但无出处字段,1,0.5,,
median_delta,A-1 登记面点名但无出处字段,1,.2f;.4f,,
median_snr,A-1 登记面点名但无出处字段,2,0.0,,
median_source_snr,A-1 登记面点名但无出处字段,1,0.0,,
median_target,A-1 登记面点名但无出处字段,1,1.0,,
midtones,A-1 登记面点名但无出处字段,11,0.001f;0.999f | 0.01f;0.99f | 0.05f | 0.,,
min,A-1 登记面点名但无出处字段,2,0.0 | 0.5585;2.48e4,,
min_retained_fraction,A-1 登记面点名但无出处字段,2,0.0 | 0.60,,
minhigh,A-1 登记面点名但无出处字段,1,0.0,,
minsatlevel,A-1 登记面点名但无出处字段,4,.1f;.4f | 0.7 | 0.7f,,
moc_area_sr,A-1 登记面点名但无出处字段,1,0.0,,
mode,A-1 登记面点名但无出处字段,1,.2f,,
model_error,A-1 登记面点名但无出处字段,1,0.0,,
n_frames,A-1 登记面点名但无出处字段,2,.2f,,
n_gaia,A-1 登记面点名但无出处字段,3,1.0,,
n_inliers,A-1 登记面点名但无出处字段,9,.2f;.4f | .4f,,
n_leaf,A-1 登记面点名但无出处字段,2,512,,
n_matched,A-1 登记面点名但无出处字段,15,.2f | .4f | .6;.6f,,
n_pairs,A-1 登记面点名但无出处字段,3,.3f,,
n_pix,A-1 登记面点名但无出处字段,4,.1f | .6f | 512,,
n_points,A-1 登记面点名但无出处字段,6,.0f | .2f;.4f | .6f | .6f;2.0,,
n_ret,A-1 登记面点名但无出处字段,2,1.0,,
n_retained,A-1 登记面点名但无出处字段,1,.2f,,
n_sat,A-1 登记面点名但无出处字段,1,.60,,
n_sky,A-1 登记面点名但无出处字段,3,0.0,,
n_source,A-1 登记面点名但无出处字段,2,.3f,,
n_stars,A-1 登记面点名但无出处字段,4,.1f | .4f | 120,,
n_target,A-1 登记面点名但无出处字段,5,4.22 | 60,,
n_used,A-1 登记面点名但无出处字段,1,.6,,
n_valid,A-1 登记面点名但无出处字段,3,.2f | .6f,,
naive,A-1 登记面点名但无出处字段,1,1.0,,
negative,A-1 登记面点名但无出处字段,1,0.0,,
nested,A-1 登记面点名但无出处字段,2,0.0,,
next,A-1 登记面点名但无出处字段,1,0.5,,
nm_data_scale,A-1 登记面点名但无出处字段,1,1.0,,
node_reproduction_max_abs,A-1 登记面点名但无出处字段,1,0.0,,
node_spacing_deg,A-1 登记面点名但无出处字段,3,0.0,,
node_spacing_lower_deg,A-1 登记面点名但无出处字段,3,0.0,,
node_spacing_upper_deg,A-1 登记面点名但无出处字段,3,0.0,,
noise.variance_floor,A-4 锚失效或不含该值,1,1e-12,eng/packaging/config/defaults.json,docs/science/NOISE_MODEL.md:23→source:| `x` | 像素值（校准后 ADU/e⁻ 空背景） | 输入 |
noise_sigma,A-1 登记面点名但无出处字段,1,0.0,,
norm,A-1 登记面点名但无出处字段,10,0.0 | 0.0f | 1.0f | 255.0,,
normalized,A-1 登记面点名但无出处字段,2,0.0 | 255.0,,
nside,A-1 登记面点名但无出处字段,11,.2 | .2f | .3f | .3f;.6f,,
nside_k,A-1 登记面点名但无出处字段,2,1,,
nside_leaf,A-1 登记面点名但无出处字段,1,1,,
object,A-1 登记面点名但无出处字段,1,.16;.1f;.32,,
objective,A-1 登记面点名但无出处字段,5,.6 | 0.0,,
offset,A-1 登记面点名但无出处字段,1,0,,
order,A-1 登记面点名但无出处字段,4,.3f | .4f | .6f,,
orig,A-1 登记面点名但无出处字段,1,0.0,,
