类型,符号或键,位点,现行值,登记单位,机判档,条文命中
具名,eps,lib/algorithms/coverage/src/sky_plane.cpp:1553,1e-9,未标注,③未见于条文面,
具名,eps,lib/algorithms/coverage/src/sky_plane.cpp:1620,1e-9,未标注,③未见于条文面,
具名,kRankRtolFrozen,lib/algorithms/coverage/src/upm.cpp:61,1e-10,未标注,③未见于条文面,
具名,tile_shift,lib/algorithms/coverage/src/upm.cpp:321,9,未标注,①条文含值,docs/algorithms/HEALPIX_MAPPING.md:25 tile_shift=9；mask=(1<<18)-1；nested_local_to_xy 单调。
具名,max_cg,lib/algorithms/coverage/src/upm.cpp:680,200,未标注,①条文含值,"docs/algorithms/PHASE2_UPM_IMPL.md:198 C 更新（固定 M，逐帧 CG）: cg_solve_frame (:663-720, max_cg=200 :667)"
具名,kStallPatience,lib/algorithms/coverage/src/upm.cpp:732,5,未标注,①条文含值,docs/algorithms/PHASE2_UPM_IMPL.md:402 `kStallPatience=5`（upm.cpp:719）、`kObjImproveFloor=1e-12`（upm.cpp:720）。
具名,kObjImproveFloor,lib/algorithms/coverage/src/upm.cpp:733,1e-12,未标注,①条文含值,docs/algorithms/PHASE2_UPM_IMPL.md:402 `kStallPatience=5`（upm.cpp:719）、`kObjImproveFloor=1e-12`（upm.cpp:720）。
具名,tile_shift,lib/algorithms/coverage/src/upm.cpp:1921,9,未标注,①条文含值,docs/algorithms/HEALPIX_MAPPING.md:25 tile_shift=9；mask=(1<<18)-1；nested_local_to_xy 单调。
具名,tile_shift,lib/algorithms/coverage/src/upm.cpp:1955,9,未标注,①条文含值,docs/algorithms/HEALPIX_MAPPING.md:25 tile_shift=9；mask=(1<<18)-1；nested_local_to_xy 单调。
具名,tile_shift,lib/algorithms/coverage/src/upm.cpp:2060,9,未标注,①条文含值,docs/algorithms/HEALPIX_MAPPING.md:25 tile_shift=9；mask=(1<<18)-1；nested_local_to_xy 单调。
具名,kLeafPx,lib/algorithms/coverage/src/upm.cpp:2061,512,未标注,①条文含值,docs/algorithms/PHASE2_UPM_IMPL.md:401 `kLeafPx=512²`、跨 tile 邻接 link_rad=1.6×cell_dist、dense/sparse 等价 1e-12、
具名,kChunk,lib/algorithms/coverage/src/upm.cpp:2062,16,未标注,①条文含值,docs/algorithms/PHASE2_UPM_IMPL.md:262 - **materialize 固定块结构**：kChunk=16（:1407），frame 外层升序 +
具名,kMaPiHalf,lib/algorithms/coverage/src/upm.cpp:2232,1.57079632679489661923132169163975144209858469968755,未标注,③未见于条文面,
具名,kMaKCcorrFrozenInDomain,lib/algorithms/coverage/src/upm.cpp:2233,1.4,未标注,③未见于条文面,
