dx,dy,adrop,s0_4c_acos,s1_4c_stbl,s3_curve128_acos,s2_curve8,s2_curve32,s2_curve128,s2_curve512,oracle,r0,r1,r3,r2k8,r2k32,r2k128,r2k512,roracle,leafmax_err
-7.50,-7.00,9.401756e-13,9.401767e-13,9.401756e-13,9.401755e-13,9.401756e-13,9.401756e-13,9.401756e-13,9.401756e-13,9.401756e-13,1.152e-06,7.034e-09,6.592e-08,5.833e-10,3.710e-11,2.324e-12,1.458e-13,2.148e-15,1.474e-08
-7.50,-6.50,9.401842e-13,9.401842e-13,9.401842e-13,9.401842e-13,9.401842e-13,9.401842e-13,9.401842e-13,9.401842e-13,9.401842e-13,1.718e-15,3.222e-15,1.504e-15,1.504e-15,1.504e-15,3.437e-15,4.296e-16,1.718e-15,1.717e-08
-7.50,-6.00,9.401784e-13,9.401784e-13,9.401784e-13,9.401784e-13,9.401784e-13,9.401784e-13,9.401784e-13,9.401784e-13,9.401784e-13,5.155e-15,5.155e-15,3.437e-15,4.511e-15,3.222e-15,2.578e-15,2.148e-15,8.807e-15,2.005e-08
-7.50,-5.50,9.401799e-13,9.401601e-13,9.401589e-13,9.401798e-13,9.401795e-13,9.401798e-13,9.401799e-13,9.401799e-13,9.401799e-13,2.106e-05,2.235e-05,7.602e-08,3.510e-07,2.194e-08,1.371e-09,8.569e-11,1.504e-15,2.106e-08
-7.50,-5.00,9.401813e-13,9.401436e-13,9.401424e-13,9.401812e-13,9.401807e-13,9.401812e-13,9.401813e-13,9.401813e-13,9.401813e-13,4.007e-05,4.136e-05,7.718e-08,6.484e-07,4.053e-08,2.533e-09,1.583e-10,1.933e-15,2.443e-08
-7.50,-4.50,9.401760e-13,9.401760e-13,9.401760e-13,9.401760e-13,9.401760e-13,9.401760e-13,9.401760e-13,9.401760e-13,9.401760e-13,1.289e-15,1.718e-15,2.792e-15,4.296e-16,2.792e-15,6.444e-16,2.148e-15,4.081e-15,2.838e-08
-7.50,-4.00,9.401743e-13,9.401743e-13,9.401743e-13,9.401743e-13,9.401743e-13,9.401743e-13,9.401743e-13,9.401743e-13,9.401743e-13,3.007e-15,2.578e-15,4.296e-15,2.792e-15,3.866e-15,4.940e-15,4.511e-15,6.444e-16,3.053e-08
-7.50,-3.50,9.401752e-13,9.401752e-13,9.401752e-13,9.401752e-13,9.401752e-13,9.401752e-13,9.401752e-13,9.401752e-13,9.401752e-13,1.933e-15,6.444e-16,2.148e-15,2.148e-16,1.289e-15,2.148e-16,1.504e-15,1.933e-15,3.601e-08
-7.50,-3.00,9.401675e-13,9.401675e-13,9.401675e-13,9.401675e-13,9.401675e-13,9.401675e-13,9.401675e-13,9.401675e-13,9.401675e-13,4.296e-16,0.000e+00,4.296e-16,1.933e-15,1.504e-15,8.592e-16,6.444e-16,4.296e-16,2.678e-08
-7.50,-2.50,9.401680e-13,9.401680e-13,9.401680e-13,9.401680e-13,9.401680e-13,9.401680e-13,9.401680e-13,9.401680e-13,9.401680e-13,8.592e-16,0.000e+00,6.444e-16,1.289e-15,0.000e+00,1.074e-15,8.592e-16,1.933e-15,2.082e-08
-7.50,-2.00,9.401737e-13,9.401737e-13,9.401737e-13,9.401737e-13,9.401737e-13,9.401737e-13,9.401737e-13,9.401737e-13,9.401737e-13,1.504e-15,2.792e-15,1.718e-15,4.296e-16,6.444e-16,4.296e-16,4.296e-16,3.007e-15,2.214e-08
-7.50,-1.50,9.401743e-13,9.401297e-13,9.401314e-13,9.401743e-13,9.401736e-13,9.401742e-13,9.401742e-13,9.401743e-13,9.401743e-13,4.734e-05,4.562e-05,8.464e-08,7.171e-07,4.482e-08,2.801e-09,1.751e-10,3.866e-15,1.968e-08
-7.50,-1.00,9.401824e-13,9.401673e-13,9.401689e-13,9.401825e-13,9.401822e-13,9.401824e-13,9.401824e-13,9.401824e-13,9.401824e-13,1.611e-05,1.439e-05,8.655e-08,2.278e-07,1.424e-08,8.902e-10,5.564e-11,1.504e-15,1.799e-08
-7.50,-0.50,9.401810e-13,9.401810e-13,9.401810e-13,9.401810e-13,9.401810e-13,9.401810e-13,9.401810e-13,9.401810e-13,9.401810e-13,1.718e-15,4.296e-15,2.148e-16,1.074e-15,6.444e-16,1.289e-15,1.289e-15,0.000e+00,1.720e-08
-7.50,0.00,9.401812e-13,9.401812e-13,9.401812e-13,9.401812e-13,9.401812e-13,9.401812e-13,9.401812e-13,9.401812e-13,9.401812e-13,2.792e-15,3.007e-15,2.363e-15,3.652e-15,1.718e-15,2.578e-15,2.792e-15,8.592e-16,1.505e-08
-7.50,0.50,9.401810e-13,9.401810e-13,9.401810e-13,9.401810e-13,9.401810e-13,9.401810e-13,9.401810e-13,9.401810e-13,9.401810e-13,6.659e-15,6.014e-15,6.874e-15,9.451e-15,9.666e-15,7.948e-15,8.162e-15,8.807e-15,1.453e-08
-7.50,1.00,9.401824e-13,9.402283e-13,9.402299e-13,9.401825e-13,9.401832e-13,9.401825e-13,9.401824e-13,9.401824e-13,9.401824e-13,4.877e-05,5.049e-05,9.052e-08,7.882e-07,4.926e-08,3.079e-09,1.924e-10,5.585e-15,1.287e-08
-7.50,1.50,9.401743e-13,9.402314e-13,9.402330e-13,9.401743e-13,9.401752e-13,9.401743e-13,9.401743e-13,9.401743e-13,9.401743e-13,6.079e-05,6.250e-05,9.126e-08,9.764e-07,6.103e-08,3.814e-09,2.384e-10,1.289e-15,1.063e-08
-7.50,2.00,9.401737e-13,9.401737e-13,9.401737e-13,9.401737e-13,9.401737e-13,9.401737e-13,9.401737e-13,9.401737e-13,9.401737e-13,1.074e-15,2.792e-15,1.504e-15,3.222e-15,1.074e-15,2.792e-15,1.504e-15,2.148e-16,1.054e-08
-7.50,2.50,9.401680e-13,9.402301e-13,9.402287e-13,9.401679e-13,9.401689e-13,9.401681e-13,9.401680e-13,9.401680e-13,9.401680e-13,6.607e-05,6.460e-05,8.211e-08,1.009e-06,6.309e-08,3.943e-09,2.464e-10,8.592e-15,7.842e-09
