r_px,az_deg,ra_deg,dec_deg,v0,rec1,oracle,seg_per_leaf
8.0000,22.5,89.00000114,89.99955556,8.591908e-16,0.000000e+00,4.295954e-16,248.2
8.0000,45.0,111.50000000,89.99955556,7.517899e-15,7.517899e-15,6.014319e-15,244.8
8.0000,67.5,133.99999886,89.99955556,6.606968e-05,5.191566e-08,4.295954e-16,236.0
8.0000,90.0,156.50000000,89.99955556,2.692959e-05,2.946776e-08,4.725554e-15,235.2
8.0000,112.5,179.00000114,89.99955556,4.295954e-16,4.295954e-16,1.073988e-15,240.0
8.0000,135.0,201.50000000,89.99955556,3.866348e-15,3.866348e-15,3.221957e-15,239.8
8.0000,157.5,223.99999886,89.99955556,6.606968e-05,5.191566e-08,3.221965e-15,236.0
8.0000,180.0,246.50000000,89.99955556,2.692959e-05,2.946776e-08,1.288788e-15,235.5
8.0000,202.5,269.00000114,89.99955556,2.362775e-15,1.503584e-15,1.073988e-15,238.4
8.0000,225.0,291.50000000,89.99955556,1.718377e-15,0.000000e+00,8.591884e-16,238.4
8.0000,247.5,313.99999886,89.99955556,6.606968e-05,5.191566e-08,6.443931e-16,236.0
8.0000,270.0,336.50000000,89.99955556,2.692959e-05,2.946776e-08,8.591917e-16,235.7
8.0000,292.5,359.00000114,89.99955556,8.591908e-16,8.591908e-16,1.718382e-15,237.7
8.0000,315.0,21.50000000,89.99955556,4.510739e-15,4.725536e-15,4.295942e-16,237.8
8.0000,337.5,43.99999886,89.99955556,6.606968e-05,5.191566e-08,0.000000e+00,236.0
12.0000,0.0,66.50000000,89.99933333,2.577588e-15,4.295980e-15,6.229170e-15,172.2
12.0000,22.5,88.99999960,89.99933333,4.295970e-16,4.295970e-16,0.000000e+00,216.1
12.0000,45.0,111.50000000,89.99933333,1.073991e-15,2.792376e-15,2.147981e-15,202.6
12.0000,67.5,134.00000040,89.99933333,2.890106e-05,7.557453e-09,7.732747e-15,195.2
12.0000,90.0,156.50000000,89.99933333,4.940377e-15,5.155176e-15,4.295980e-15,190.5
12.0000,112.5,178.99999960,89.99933333,1.933187e-15,3.436776e-15,4.295970e-16,202.2
12.0000,135.0,201.50000000,89.99933333,4.725559e-15,6.443944e-15,1.288789e-14,198.4
12.0000,157.5,224.00000040,89.99933333,2.890106e-05,7.557477e-09,8.806739e-15,195.2
