dx,dy,adrop,sum_prod,sum_a0,rel_prod,rel_a0,bitdiff_leaves
-7.00,0.00,9.401687e-13,9.401686672143e-13,9.401686672143e-13,1.1298e-13,1.7614e-14,0
-7.00,0.50,9.401841e-13,9.401841163296e-13,9.401841163296e-13,1.1685e-13,4.7040e-14,0
-7.00,1.00,9.401765e-13,9.401765321950e-13,9.401765321951e-13,1.0246e-13,9.4511e-15,0
-7.00,1.50,9.401768e-13,9.401768329072e-13,9.401768329073e-13,8.7638e-14,3.2649e-14,0
-7.00,2.00,9.401761e-13,9.401761442915e-13,9.401761442916e-13,1.1406e-13,1.8043e-14,0
-7.00,2.50,9.401701e-13,9.401700608022e-13,9.401700608023e-13,8.8927e-14,8.5920e-16,0
-7.00,3.00,9.401694e-13,9.402356012950e-13,9.402356012951e-13,7.0402e-05,7.0402e-05,0
-7.00,3.50,9.401774e-13,9.401773956411e-13,9.401773956412e-13,1.0138e-13,1.9117e-14,0
-7.00,4.00,9.401763e-13,9.402347045209e-13,9.402347045210e-13,6.2156e-05,6.2156e-05,0
-7.00,4.50,9.401764e-13,9.401764498251e-13,9.401764498252e-13,9.4082e-14,1.9332e-15,0
-7.00,5.00,9.401834e-13,9.401833941440e-13,9.401833941441e-13,9.3007e-14,2.6420e-14,0
-7.00,5.50,9.401719e-13,9.401718618079e-13,9.401718618081e-13,1.2523e-13,3.9093e-14,0
-7.00,6.00,9.401800e-13,9.402011640403e-13,9.402011640404e-13,2.2546e-05,2.2546e-05,0
-7.00,6.50,9.401773e-13,9.401773176981e-13,9.401773176982e-13,8.6349e-14,6.8735e-15,0
-7.00,7.00,9.401771e-13,9.401770724335e-13,9.401770724337e-13,7.9261e-14,4.4248e-14,0
-7.00,7.50,9.401756e-13,9.401766948339e-13,9.401766948340e-13,1.1518e-06,1.1518e-06,0
-7.00,8.00,9.401742e-13,9.401741744597e-13,9.401741744598e-13,1.3855e-13,3.8879e-14,0
-6.50,-8.00,9.401823e-13,9.401823412960e-13,9.401823412962e-13,6.8520e-14,1.2072e-13,0
-6.50,-7.50,9.401842e-13,9.401842356563e-13,9.401842356564e-13,7.9690e-14,4.9403e-15,0
-6.50,-7.00,9.401773e-13,9.401773176900e-13,9.401773176901e-13,9.9237e-14,5.7996e-15,0
-6.50,-6.50,9.401789e-13,9.401885502138e-13,9.401885502139e-13,1.0245e-05,1.0245e-05,0
-6.50,-6.00,9.401723e-13,9.401722948140e-13,9.401722948140e-13,1.0676e-13,2.3198e-14,0
-6.50,-5.50,9.401736e-13,9.401735979399e-13,9.401735979400e-13,1.0461e-13,2.5776e-14,0
-6.50,-5.00,9.401748e-13,9.401596732054e-13,9.401596732055e-13,1.6118e-05,1.6118e-05,0
-6.50,-4.50,9.401785e-13,9.401376335260e-13,9.401376335261e-13,4.3507e-05,4.3507e-05,0
-6.50,-4.00,9.401801e-13,9.401801216644e-13,9.401801216645e-13,1.0632e-13,2.5776e-15,0
-6.50,-3.50,9.401837e-13,9.401836662505e-13,9.401836662506e-13,1.0160e-13,7.3031e-15,0
-6.50,-3.00,9.401856e-13,9.401855594157e-13,9.401855594158e-13,1.1255e-13,1.7184e-15,0
-6.50,-2.50,9.401872e-13,9.401871843582e-13,9.401871843583e-13,9.6658e-14,2.1480e-16,0
-6.50,-2.00,9.401884e-13,9.401884342329e-13,9.401884342330e-13,1.0095e-13,4.5107e-15,0
-6.50,-1.50,9.401787e-13,9.401787007964e-13,9.401787007965e-13,9.8377e-14,4.5108e-15,0
-6.50,-1.00,9.401794e-13,9.401794461614e-13,9.401794461615e-13,9.4296e-14,4.2960e-16,0
-6.50,-0.50,9.401709e-13,9.401708911362e-13,9.401708911363e-13,1.0353e-13,1.3747e-14,0
-6.50,0.00,9.401711e-13,9.401710754057e-13,9.401710754058e-13,1.1191e-13,1.5251e-14,0
-6.50,0.50,9.401709e-13,9.401708911375e-13,9.401708911376e-13,1.0869e-13,4.2960e-16,0
-6.50,1.00,9.401794e-13,9.401794461641e-13,9.401794461642e-13,1.0547e-13,1.2243e-14,0
-6.50,1.50,9.401787e-13,9.401787008002e-13,9.401787008003e-13,8.9571e-14,3.4582e-14,0
-6.50,2.00,9.401884e-13,9.402712151604e-13,9.402712151605e-13,8.8047e-05,8.8047e-05,0
-6.50,2.50,9.401872e-13,9.401871843640e-13,9.401871843640e-13,1.0740e-13,9.6658e-15,0
-6.50,3.00,9.401856e-13,9.402605837385e-13,9.402605837386e-13,7.9797e-05,7.9797e-05,0
-6.50,3.50,9.401837e-13,9.401836662575e-13,9.401836662576e-13,1.1062e-13,8.5919e-15,0
-6.50,4.00,9.401801e-13,9.402372729967e-13,9.402372729968e-13,6.0788e-05,6.0788e-05,0
-6.50,4.50,9.401785e-13,9.401785382431e-13,9.401785382432e-13,1.0998e-13,1.2458e-14,0
