path,lines,h1,meta_block,frontmatter,upstream_pointer,dates,task_ids,commit_sha,sha256,history_narrative,dangling_links,unregistered_index,unreadable
docs/modules/phase2_upm.md,263,模块 astrocs.p2.upm,True,True,True,[],[],['5ecc60df2d5021d18be04e0e6359d45b7b125b33'],False,[86],[],False,
docs/modules/phase3_fits.md,150,模块 astrocs.p3.fits_writer,True,True,True,[],[],['5ecc60df2d5021d18be04e0e6359d45b7b125b33'],True,[],[],False,
docs/modules/phase3_proj.md,94,Phase3 投影/WCS 模块（astrocs.p3.projection）,False,False,True,[],[],[],False,[],[],False,
docs/modules/phase3_rsmp.md,106,Phase3 HiPS 重采样模块（astrocs.p3.resample）,False,False,True,[],[],[],False,[],[],False,
docs/modules/photometric_calib.md,64,Module: photometric_calib,False,False,True,[],[],[],False,[],[],False,
docs/modules/plate_solve.md,63,Module: plate_solve (ipv),False,False,True,[],[],[],False,[],[],False,
docs/modules/registry/astrocs.phase1.calibration.md,60,模块 astrocs.phase1.calibration,True,True,True,[],[],['822b9c5391a14cc36979a7c550984f6ce363c713'],True,[],[],False,
docs/modules/registry/astrocs.phase1.cosmetic.md,92,模块 astrocs.phase1.cosmetic,True,True,True,[],[],['5ecc60df2d5021d18be04e0e6359d45b7b125b33'],False,[],[],False,
docs/modules/registry/astrocs.phase1.drizzle.md,108,模块 astrocs.phase1.drizzle,True,True,True,[],[],['5ecc60df2d5021d18be04e0e6359d45b7b125b33'],False,[],[],False,
docs/modules/registry/astrocs.phase1.hips-writer.md,104,模块 astrocs.p1.hips_writer,True,True,True,[],[],['860639be8eb0c07a89383c3975bc14ba2f97ba19'],False,[],[],False,
docs/modules/registry/astrocs.phase1.noise-snr.md,75,模块 astrocs.phase1.noise-snr,True,True,True,[],[],['5ecc60df2d5021d18be04e0e6359d45b7b125b33'],False,[],[],False,
docs/modules/registry/astrocs.phase1.photometry.md,82,模块 astrocs.phase1.photometry,True,True,True,[],[],['5ecc60df2d5021d18be04e0e6359d45b7b125b33'],False,[],[],False,
docs/modules/registry/astrocs.phase1.session.md,43,模块 astrocs.phase1.session,True,True,True,[],[],['0d32c07d65c6d7489fa408cbafaa98ddf9ecf4da'],False,[],[],False,
docs/modules/registry/astrocs.phase1.star-detection.md,56,模块 astrocs.p1.star_detection,True,True,True,[],[],['5ecc60df2d5021d18be04e0e6359d45b7b125b33'],False,[],[],False,
docs/modules/registry/astrocs.phase1.star-psf.md,80,模块 astrocs.phase1.star-psf,True,True,True,[],[],['5ecc60df2d5021d18be04e0e6359d45b7b125b33'],False,[],[],False,
docs/modules/registry/astrocs.phase1.wcs-platesolve.md,96,模块 astrocs.phase1.wcs-platesolve,True,True,True,[],[],['5ecc60df2d5021d18be04e0e6359d45b7b125b33'],False,[],[],False,
docs/modules/registry/astrocs.phase1.writer.md,60,模块 astrocs.phase1.writer,True,True,True,[],[],['5ecc60df2d5021d18be04e0e6359d45b7b125b33'],False,[],[],False,
docs/modules/registry/astrocs.phase2.coverage.md,79,模块 astrocs.p2.coverage,True,True,True,[],[],['5ecc60df2d5021d18be04e0e6359d45b7b125b33'],False,[],[],False,
docs/modules/registry/astrocs.phase2.integrate.md,134,模块 astrocs.phase2.integrate,True,True,True,[],[],['5ecc60df2d5021d18be04e0e6359d45b7b125b33'],False,[],[],False,
docs/modules/registry/astrocs.phase2.reject.md,154,模块 astrocs.phase2.reject,True,True,True,[],[],['5ecc60df2d5021d18be04e0e6359d45b7b125b33'],False,[],[],False,
docs/modules/registry/astrocs.phase2.resample.md,60,模块 astrocs.phase2.resample,True,True,True,[],[],['822b9c5391a14cc36979a7c550984f6ce363c713'],True,[],[],False,
docs/modules/registry/astrocs.phase2.sample.md,171,模块 astrocs.phase2.sample,True,True,True,[],[],['5ecc60df2d5021d18be04e0e6359d45b7b125b33'],False,[],[],False,
docs/modules/registry/astrocs.phase2.session.md,67,模块 astrocs.phase2.session,True,True,True,[],[],['dc1ed210fecdd2981d3aaced916b73072e1ca067'],False,[],[],False,
docs/modules/registry/astrocs.phase2.upm-apply.md,160,模块 astrocs.phase2.upm-apply,True,True,True,[],[],['5ecc60df2d5021d18be04e0e6359d45b7b125b33'],False,[],[],False,
docs/modules/registry/astrocs.phase2.upm-fit.md,153,模块 astrocs.phase2.upm-fit,True,True,True,[],[],['5ecc60df2d5021d18be04e0e6359d45b7b125b33'],False,[],[],False,
docs/modules/registry/astrocs.phase2.write.md,142,模块 astrocs.p2.hips_writer（registry 行 MOD-astrocs-phase2-write）,True,True,True,[],[],['5ecc60df2d5021d18be04e0e6359d45b7b125b33'],True,[],[],False,
docs/modules/registry/astrocs.phase3.properties.md,60,模块 astrocs.phase3.properties,True,True,True,[],[],['822b9c5391a14cc36979a7c550984f6ce363c713'],True,[],[],False,
docs/modules/registry/astrocs.phase3.resample.md,60,模块 astrocs.phase3.resample,True,True,True,[],[],['822b9c5391a14cc36979a7c550984f6ce363c713'],True,[],[],False,
docs/modules/registry/astrocs.phase3.resample2.md,215,模块 astrocs.phase3.resample2,True,True,True,[],[],['5ecc60df2d5021d18be04e0e6359d45b7b125b33'],False,[],[],False,
docs/modules/registry/astrocs.phase3.verify.md,60,模块 astrocs.phase3.verify,True,True,True,[],[],['5ecc60df2d5021d18be04e0e6359d45b7b125b33'],False,[],[],False,
docs/modules/registry/astrocs.phase3.wcs.md,187,模块 astrocs.phase3.wcs,True,True,True,[],[],['5ecc60df2d5021d18be04e0e6359d45b7b125b33'],False,[],[],False,
docs/modules/registry/astrocs.phase3.writer.md,192,模块 astrocs.phase3.writer,True,True,True,[],[],['5ecc60df2d5021d18be04e0e6359d45b7b125b33'],True,[],[],False,
docs/modules/registry/module_id_migration_baseline.json,37,,False,False,False,"[3, 17, 21, 25, 29, 33]",[],[],False,[],[],False,
docs/modules/snr_estimator.md,53,Module: snr_estimator,False,False,True,[],[],[],False,[],[],False,
docs/modules/star_detector.md,93,Module: star_detector,False,False,True,[],[],[],False,[],[],False,
docs/plugins/00_INDEX.md,112,Astro Celestial Sphere Database（ACSD） 插件文档集（docs/plugins）,False,False,True,[],[],[],False,[],[],False,
docs/plugins/algorithms_phase1/01_calibration.md,68,插件文档：calibration（定标）,False,False,True,[],[],[],False,[],"['eng/contracts/schemas/calibration_output.schema.json', 'eng/contracts/schemas/data_light.schema.json']",False,
docs/plugins/algorithms_phase1/02_cosmetic.md,55,插件文档：cosmetic（坏点/宇宙线修正）,False,False,True,[],[],[],False,[],['eng/contracts/schemas/cosmetic_output.schema.json'],False,
docs/plugins/algorithms_phase1/03_star_detection.md,132,插件文档：star_detection（源探测）,False,False,True,[],[],[],False,"[108, 128]",['eng/contracts/schemas/source_catalog.schema.json'],False,
docs/plugins/algorithms_phase1/04_psf.md,55,插件文档：psf（PSF 建模）,False,False,True,[],[],[],False,[],['eng/contracts/schemas/psf_output.schema.json'],False,
docs/plugins/algorithms_phase1/05_platesolve.md,57,插件文档：platesolve（天体测量/WCS）,False,False,True,[],[],[],False,[],['eng/contracts/schemas/wcs_output.schema.json'],False,
docs/plugins/algorithms_phase1/06_photometry.md,119,插件文档：photometry（测光/通量定标）,False,False,True,[],[],[],False,[],['eng/contracts/schemas/photometry_output.schema.json'],False,
docs/plugins/algorithms_phase1/07_noise_snr.md,257,插件文档：noise_snr（噪声 / 帧级 SNR / 点源信息量）,False,False,True,[],"['EXP-03', 'EXP-04', 'EXP-05']",[],False,[],['eng/contracts/schemas/noise_snr_output.schema.json'],False,
docs/plugins/algorithms_phase1/08_drizzle.md,78,插件文档：drizzle（球面 Drizzle / HEALPix 累积）,False,False,True,[],[],[],True,[70],"['eng/contracts/schemas/hips_product.schema.json', 'eng/contracts/schemas/manifest.schema.json']",False,
docs/plugins/algorithms_phase2/09_coverage.md,51,插件文档：coverage（覆盖联合）,False,False,True,[],[],[],False,[],['eng/contracts/schemas/coverage_output.schema.json'],False,
docs/plugins/algorithms_phase2/10_sampling.md,122,插件文档：sampling（控制采样）,False,False,True,[],['RELEASE-04'],[],False,[],['eng/contracts/schemas/control_points.schema.json'],False,
docs/plugins/algorithms_phase2/11_upm.md,189,插件文档：upm（统一相对模型）,False,False,True,[],['RELEASE-04'],[],False,[],['eng/contracts/schemas/upm_output.schema.json'],False,
docs/plugins/algorithms_phase2/12_rejection.md,103,插件文档：rejection（排异推断）,False,False,True,[],[],[],False,[],['eng/contracts/schemas/rejection_output.schema.json'],False,
docs/plugins/algorithms_phase2/13_integration.md,104,插件文档：integration（科学目标集成）,False,False,True,[],[],[],False,[102],['eng/contracts/schemas/mosaic_product.schema.json'],False,
docs/plugins/algorithms_phase3/14_projection.md,59,插件文档：projection（投影 registry）,False,False,True,[],[],[],False,[],[],False,
docs/plugins/algorithms_phase3/15_resample.md,58,插件文档：resample（反向映射与重采样）,False,False,True,[],[],[],False,[],['eng/contracts/schemas/export_product.schema.json'],False,
docs/plugins/algorithms_phase3/16_fits_output.md,65,插件文档：fits_output（流式 FITS 输出）,False,False,True,[],[],[],False,[],['eng/contracts/schemas/fits_product.schema.json'],False,
docs/plugins/infrastructure/17_aio.md,59,插件文档：aio（I/O 与原子提交）,False,False,True,[],[],[],True,[],[],False,
docs/plugins/infrastructure/18_cli.md,67,插件文档：cli（命令行入口）,False,False,True,[],[],[],True,[],"['eng/contracts/schemas/cli_output.schema.json', 'eng/contracts/schemas/events.schema.json']",False,
docs/plugins/infrastructure/19_runtime.md,124,插件文档：scheduler + pipeline（调度与资源）,False,False,True,[],[],[],False,[],[],False,
docs/plugins/infrastructure/20_benchmark.md,53,插件文档：benchmark（CPU profile）,False,False,True,[],[],[],False,[],[],False,
docs/plugins/infrastructure/21_observability.md,172,插件文档：observability（可观测性）,False,False,True,[],[],[],True,[],['eng/contracts/schemas/events.schema.json'],False,
docs/plugins/infrastructure/22_gaia_xpsd_client.md,84,插件文档：gaia_xpsd_client（外部星表查询）,False,False,True,[],[],[],False,[],['eng/contracts/schemas/catalog_query.schema.json'],False,
docs/plugins/infrastructure/23_hips_browser.md,52,插件文档：hips_browser（HiPS 浏览器组件）,False,False,True,[],[],[],False,[],['eng/contracts/schemas/hips_product.schema.json'],False,
docs/architecture/ARCHITECTURE.md,68,Astro Celestial Sphere Database（ACSD） Architecture (V5 单一 CLI 冻结版),False,False,True,[],[],[],True,[],[],False,
docs/architecture/ASYNC_IO_CONTRACT.md,114,Async I/O Contract（CON-008 有界异步 I/O 合同）,False,False,True,[],[],[],False,[],[],False,
docs/architecture/BUILD_GRAPH.md,121,Build Graph,False,False,True,[],[],[],True,[],[],False,
docs/architecture/CACHE_POLICY.md,26,Cache Policy,False,False,True,[],[],[],False,[],[],False,
docs/architecture/COMPATIBILITY_POLICY.md,26,Compatibility Policy,False,False,True,[],[],[],False,[],[],False,
docs/architecture/CPU_BACKEND_ARCH.md,53,CPU Backend 架构 (C ABI v1 · Loader · Per-Kernel Dispatcher),False,False,True,[],[],[],True,[],[],False,
docs/architecture/DATA_FLOW.md,49,Data Flow,False,False,True,[],[],[],False,[],[],False,
docs/architecture/DEPENDENCY_RULES.md,16,Dependency Rules,False,False,True,[],[],[],False,[],[],False,
docs/architecture/ERROR_MODEL.md,54,Error Model,False,False,True,[],[],[],False,[],[],False,
docs/architecture/EXECUTION_MODEL.md,102,Execution & Lifetime Model (ARC-EXEC),False,False,True,[],[],[],False,[],[],False,
docs/architecture/IO_AND_ATOMICITY.md,50,I/O & Atomicity,False,False,True,[],[],[],False,[],[],False,
docs/architecture/ISA_BIT_MANIP_VARIANTS.md,42,整数/位操作 ISA 变体评估 (ISA-005) — NOT_APPLICABLE,False,False,True,[],[],[],False,[],[],False,
docs/architecture/ISA_VARIANTS.md,85,ISA 变体决策台账 (ISA-001..004 冻结 — V5),False,False,True,[],[],[],True,[],['artifacts/evidence/prerelease-v5/ISA-004/MEASUREMENTS.csv'],False,
docs/architecture/MODULE_MAP.md,110,Module Map,False,False,True,[],[],[],True,"[74, 82]",['docs/modules/<module>.md'],False,
docs/architecture/OWNERSHIP_AND_LIFETIME.md,24,Ownership & Lifetime,False,False,True,[],[],[],False,[],[],False,
docs/architecture/PERFORMANCE_MODEL.md,245,Performance Model,False,False,True,"[15, 81, 222]","['FIX-01', 'RELEASE-05']","['37a09c81', 'd7ef4d8b', 'f86d60e2']",True,"[64, 99]",[],False,
docs/architecture/PHASE3_MODULE_ARCH.md,64,Phase3 模块架构 (HiPS reader → WCS → resampler → FITS writer),False,False,True,[],[],[],False,[],['内存守卫'],False,
docs/architecture/PIPELINE.md,63,Astro Celestial Sphere Database（ACSD） Pipeline（Phase1 → Phase2）,False,False,True,[],[],[],False,[],[],False,
docs/architecture/PRODUCTION_EXECUTION_INVENTORY.csv,562,,False,False,False,[],[],[],False,[],[],False,
docs/architecture/THREADING_MODEL.md,128,Threading Model,False,False,True,[],[],['f86d60e2'],False,[123],[],False,
docs/architecture/THREAD_BUDGET_ARCH.md,48,全局 Thread Budget 与执行架构 (V5),False,False,True,[],[],[],False,[],[],False,
docs/architecture/abi/ABI_003_SECURE_LOADER.md,113,Secure Module Loader (ABI-003),False,False,True,[],[],[],True,[],[],False,
docs/architecture/api_inventory.csv,449,,False,False,False,[],[],[],True,[],[],False,
docs/architecture/cpu/CPU_001_CAPABILITY_PROBE.md,104,CPU 能力探测与安全矩阵 (CPU-001),False,False,True,[],[],[],False,[],[],False,
