path,size_bytes,sha256,license_hint
lib/astro_image_io/third_party/cfitsio/drvrgsiftp.h,787,ffac6aedb65522e014203351c156363b5b91087db12a6421ac073d7371aa51ea,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/drvrmem.c,40747,eb226838edd2268e99cbcf1fb9b1b32df4cb39529b56a30ac756b566a0a5750f,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/drvrmem.o,23224,91612f9cbfc971770d450a48cd9aded9f41d84d2565b64b063da25580e8bfad6,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/drvrnet.c,128649,25428f6aae066f43f3deabb3f1910275e189c682a1679d890bd24a555888e36f,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/drvrnet.o,800,cd491fd9fb151b63ac4bd0af0bd752e26ed69f649063b5893273dda805f7ed87,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/drvrsmem.c,38559,f369fc8ff1e7ee39372503c9ed39f36b007bdb17da55735f407ff63106e173f1,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/drvrsmem.h,6536,c7280cfe29e2c2c1a35d6b08a8c39dd802eb824c71917ef905063fae7881bcf2,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/drvrsmem.o,808,7ac67d7fe6986c8702e01e160fbb996aef149357a22a64d380fdc9e5c8c2e33c,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/editcol.c,111493,96edfbd76222dfd4d6300f419cc845e07964bf56b2ed9ca0791ab538a5821c2a,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/editcol.o,64944,594a663614ac780f6d4e5243511d2f5e3f32f8aedfc76648d61464c3323a1813,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/edithdu.c,32727,2e934ee617d1944a598a7122cef71b12c56599f32ae365d9d775137e5036c48b,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/edithdu.o,17240,c1153e34c21869a0508d0a3fe0f56c9ae246b25dd3f3e1d55489b29d997b8459,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/eval.l,19083,ed0c4ac27ae5f91970b201a2af995bf1e457ef5ab7089d9b7aea1e3e62123e51,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/eval.y,206898,cfb1a81feb96da8072be02df1c4d3e11b36196f48ed1e543b04ba87c87111079,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/eval_defs.h,6070,02927878ac4713cb955623e01940f598080958de8445e30e8c1eb76b265bc928,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/eval_f.c,104852,ae5921698ce65da2dea10f80708e087fbba061cd1efa24824e85c24f5c96f667,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/eval_f.o,69432,ac4288aab452b2bcb2192a0f36cdb4130883a7ccdee54edc86c0cd9b4450e9c7,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/eval_l.c,87388,b97af43727866ce28d8760fd29cdc61cd269257c23ce2e5d826f2a07b58fd679,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/eval_l.o,31304,ae2fe67d7ae816573a44a7a39e5daa43feffcbc37f1f3891808724efc2eb4e96,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/eval_tab.h,4954,cf5d64f8e5622fd73f047b288fac4d64e5c4ed6aafb5c8ef120627e42143cc8f,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/eval_y.c,308729,b18810196c9dbb8f8bb2f811e5666532ed1acaa3b8fdce6a4fc03e12b436c7b4,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/eval_y.o,143928,0b58a4f59a24e080232b554ef1a9c18a453dbb9bbae89f67709b4cf2721a943b,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/f77.inc,853,ff0a973e3ee26887b425558cf14e2e7a671be2f8494ee7de8e8f4ac2f5572506,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/f77_wrap.h,10513,c3d7fda71f4d38d63e4b798b523dc83aa836f0167aba4950c60dffaba72a79a6,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/f77_wrap1.c,12827,7708e8a6fc6ef29725a25783b15f0714ef19f68d86ddd29916ec798da01f73a9,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/f77_wrap2.c,34143,cfb197243a5ac75635e4026f9058b6942b84b77ca146fe63f14650444330737d,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/f77_wrap3.c,33790,e22b71e7cbb8d79c484ab9964d86bf87ae89ba7e2f6ea1baf461d0ff2c94df48,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/f77_wrap4.c,19467,d06c831d501d4fd303059aeae2df56612b50a9f2b4dddbc975e6d1f26754478d,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/fits_hcompress.c,47306,35340bc4a73746032dabd2380044bbde3758805c817fcda7d8dd36e9312572f8,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/fits_hcompress.o,19112,9584a740e1cf0352e6e0845d34d529206e7e4d595a75098001eefc57f44a4ca1,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/fits_hdecompress.c,64202,c60408a0118083dbcfa14a44d5ab6f8f487bc400d03889eb17c4e592ec6f4318,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/fits_hdecompress.o,26856,bbeb6209e0d8945a78bb7fcea69391cba638b908e044007228abb0503ad07dce,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/fitscore.c,323583,a16783fe5592d27174cbf1a1533e67c416f0a87efeb76f60cf09eb469a9b70f8,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/fitscore.o,176008,0ed90e1c414318ee2cf847baf186d44d68fac1d8108a8b2b3a9e89131c751380,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/fitsio.h,120233,8dc7deee039d1997e9e203d9e997d64f651023d19724863aa97521a275d1a7ec,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/fitsio2.h,66140,6e38f94b719bf27e19c28096029300f5763790c01921a8dbfd24792d3d603c84,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/getcol.c,45690,21f953bbee10db0e12665bf258c4e4cccbfd8eaf61ee4088504edec2901bfc44,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/getcol.o,34832,3104d5067551ea3f7dc594ca663268743f26b8154dd0edde1f58f907bbdd650b,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/getcolb.c,78370,930e9a1a1e067ebdc405e4ea7af37ac42ffcf973158cce1b5e4d7e2b9bb1de2d,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/getcolb.o,26144,8f6104f5b26ce7cc9640120add50577672a8bcbd03e8b949aa696c44d7250677,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/getcold.c,68862,fb1f26d4070ba664fd5bdda0e6b3bd98f49dd060bf3c5f2898ed1f724088d537,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/getcold.o,23024,d9487165d12716de4692e28a8505f38a6055e44c72bb79556236b1ef156cc840,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/getcole.c,71012,85d643d204d6b8b5b79f3939101dba4b1ef4761231adb5ef80300ac03702ece3,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/getcole.o,24144,147f71d6a0dec13a30c06e496e444fc72ccac134ffe97dd99bc2506d9405a4b3,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/getcoli.c,74917,5714a224786b8495b4d8d0c00eeacd362b8e1307561784c88e46e57ffa42f9fb,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/getcoli.o,25104,8d94ae1dd23dcfee2b81084a6d5b11b8c5624be70b25b51bc607f48dd0cb056b,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/getcolj.c,148289,45e619711b6c81c77c3ad0ceec1ddeb2c7833159be206d1358ba0b8fadc9d198,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/getcolj.o,47128,b4c6fa825bdb4ac3fabc8ae1a566273475da459cf4e42d1774ffef65da817e41,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/getcolk.c,74783,f6bd64d2cc3cc658f2dfcecb0d0dfae73d303ea149bba58da4d01443b29a0e14,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/getcolk.o,24880,338f45c5d8e718a529ab30dcacbc069de922c8c06d9eefcdc597ec10ee193db6,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/getcoll.c,23298,6cacd4ad49e8cfa5c88006045f3d109991d07adfe00403c9ee622beb6008ea93,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/getcoll.o,9936,04ea20533f2731429410a69bbc313b6e5c5284b6315b2b56d30a324f1f4e6474,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/getcols.c,33932,92778d9512149f742c88f165e951ab6a8b122ae7e4314dd78a171e670181168c,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/getcols.o,17376,397487e7c45c7798cc75ded30646b33aca9edd8331aca6cf79a4b255085d6fe0,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/getcolsb.c,77379,86128d1c4dac27f4fd2478433d68040743b2c56a16d36de9d87584743c80d2fe,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/getcolsb.o,25528,a28f404b4af4d4aced4e062a886b355dee9e0204d43e8afbe1545bef9a152a28,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/getcolui.c,75314,5eaffe19e27964675d2b05ed84028f92ffe112b4db2dc7962bb35e22e48fcb73,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/getcolui.o,24704,0364c9d1b85b4f22e286b3e6489bbc761abda1a8b33ebf04f2999dd827911cbd,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/getcoluj.c,148054,6723c4be244089b4aa3b716004a681678ec51972cd3db47ad74a5149855de3a7,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/getcoluj.o,45464,1b3097e93467fff1b0d33eedb994c70343221502f27754f307fed00583bc4d06,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/getcoluk.c,75525,289b5d66352ea41102f851331676a8376641e2977f7250beb3e8c2b01f3d3fce,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/getcoluk.o,24448,83a0d835c6e1bf015221c24ef0c5d8fd506eb1567ef7686e0cffa2f7ed86c992,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/getkey.c,133898,cbcb5ee53c2fc9b84c4d8456ad9e5637c443b0b727ef7f379673944ab3b172bd,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/getkey.o,59536,cc2b4db3b0e27cd1753bdfb770ae21c9b4bbe149ffe418d907ce884c8a1889c9,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/group.c,185777,67faa00dbba74d623226a509d01a174f43d327bb99272bfc507df4a4dab952cb,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/group.h,2097,960a3e1a555e441e1ecb9eff5e8eb145e3d35ae7273c2878e19c590b68b22c58,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/group.o,74152,4a8a571734307fceae0386cd354a68a08f102db9a8a13256499b933bc75a1def,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/grparser.c,46332,2599afc36c103dac4d7dca92f3b5b25a8c668250fe6758bfaf4f9c39f85bc58d,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/grparser.h,5725,a46999df1e985b5763c642fd5f8d27e80e9435ddcb7b64e4f9b7104ad8bbcdda,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/grparser.o,26704,a43f73cac9f6b18f31a6a3a049e770a91033f246dcce53d3a60eaccaa767db01,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/histo.c,114898,7da5893c676bfcc615aefb7e6106fea7161dc130e3a54dc43fa561048fd51744,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/histo.o,55136,ffd92f47fe14ef0909096d01398d53ea00c7efe8f6b23653a48d2c2d2a478a93,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/imcompress.c,380878,b8e6a6fad68b8dff035d34931458cec2b32847d055640b16c5319f5fe97a4494,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/imcompress.o,166336,623f78d53940e5aea2f4b33a88acc768e4e1ee8de4111cad75955d0660fec4c7,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/iraffits.c,58351,1eed3517838a160592966cfe36612f872f3b8f7d2f5565f5fea1f56d83300a75,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/iraffits.o,27040,be7318dcbeaf01b9f1018fd43cee552dbbf2b1dcfea2157ab9f37c43eb87fe01,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/iter_a.c,5261,67117636a076216ee92470c9a23c6eb35ffed8e295b3363297ba6fac71b68a6e,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/iter_a.f,6874,2e8840fe87598604f8b390c8e70807c4977461bdc732f99f953e03d95a8f0014,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/iter_b.c,3712,a6586ebe828adf52d64e7f187f8053c21f8880187c94c031e02f93d793b16440,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/iter_b.f,5679,1edc16d4a68f5d14db6ccc0f9b78e8fa92e25ba5efc62b7e8e58e68eb5e3546b,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/iter_c.c,6020,6622c038e92cb114c85038d0d415b0475eec9f2ce1df2c0e951357f9d006c6ca,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/iter_c.f,10525,3b97d4f46acb339ac6dc0d2315b780fab718db1e0c17605c52231bdc559fa058,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/licenses/License.txt,1410,7d4fff8fb7a2044eb6b33df24515f68bda852aa1a1e85a15397187b86e098658,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/longnam.h,22014,86d949a1cc4c9b41743e7a941211cdbe7d4d9aa35b9ab72b8be8cf65291cfcef,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/m4/ax_cfitsio.m4,5573,7a77ade6b95c82d048b2413d04628b841819d35f00147effcd9b9358d9a0f3a4,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/m4/libtool.m4,310981,fe3baac94510d4b563ed7562035bdff366e37f9e0ac274bf10e4f22d08e8664e,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/m4/ltoptions.m4,15441,4cc29b667909fcde7a08c984367bce1a1902c860acf8774794484a2e1adeb07b,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/m4/ltsugar.m4,4395,4f022724d2703c0c318eed04e04e833b82761b0a0cc02c865d0b7c1e5b2c6aba,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/m4/ltversion.m4,714,40207e691ec7d3f06cedd592e50e44d7bc187b21ad791aeabdd50871b6606799,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/m4/lt~obsolete.m4,6151,5a416905cc27c5d99ff81b61b9cf6a85c168b80178bb88f4c3eaf2e8f76c8cac,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/modkey.c,66777,4c34448c183404866e6f66d64da541a1ff44ab9cf86433092dec57a6b18dd0f2,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/modkey.o,36208,84b1ed34a0845fd0a6c76d9dcd53fbb5dc3452c3fd9eb824b4c53aa466c099b1,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/pliocomp.c,7067,6b0588e574d4c1c09e6e02e8f9f048899380c6755d5665b0031d29f2573c9e29,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/pliocomp.o,3448,9fcfc93fc330ed438acdf8961b9471cc52907b54775e80a6d2d291227a5d2caf,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/putcol.c,75221,f70d1a86b97a4f41d1873b2f8f8a2a93d3ba2fa4a6f27b86037e78ae0244d358,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/putcol.o,53960,11f32f0f82018f953481b529fe0d2279cd914fc44bbb405b6a58971366b51f4c,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/putcolb.c,37750,a455041edb8486f3145c8df7f79a3e110776a434054747670aa1bd6d21856557,cfitsio (NASA)
lib/astro_image_io/third_party/cfitsio/putcolb.o,15280,71ecc18ffddfce4690950dcc7a04f32f5bd6fedaa4dfc749c0148511a397b0b0,cfitsio (NASA)
