path,module,status,rc,elapsed_sec,findings,errors
lib/acr/examples/weighted_integration/weighted_integration_common.hpp,acr,HEADER_VIA_TU,-2,0.0,0,
lib/acr/examples/weighted_integration/weighted_integration_kernels.cpp,acr,PASS,0,1.7,0,
lib/acr/examples/weighted_integration/weighted_integration_kernels.hpp,acr,HEADER_VIA_TU,-2,0.0,0,
lib/acr/include/astro/compute/acr.hpp,acr,HEADER_VIA_TU,-2,0.0,0,
lib/acr/include/astro/compute/hardware_profile.hpp,acr,HEADER_VIA_TU,-2,0.0,0,
lib/acr/include/astro/compute/kernel_registry.hpp,acr,HEADER_VIA_TU,-2,0.0,0,
lib/acr/include/astro/compute/runtime_internal.h,acr,HEADER_VIA_TU,-2,0.0,0,
lib/acr/include/astro/compute/task_traits.hpp,acr,HEADER_VIA_TU,-2,0.0,0,
lib/acr/include/astro/compute/topology.hpp,acr,HEADER_VIA_TU,-2,0.0,0,
lib/acr/profile/profile_reader.cpp,acr,PASS,0,7.67,0,
lib/acr/profile/profile_reader.hpp,acr,HEADER_VIA_TU,-2,0.0,0,
lib/acr/qualification/benchmark_driver.cpp,acr,PASS,0,8.2,0,
lib/acr/qualification/benchmark_driver.hpp,acr,HEADER_VIA_TU,-2,0.0,0,
lib/acr/qualification/benchmarks/arithmetic_benchmark.cpp,acr,FINDINGS,0,4.35,2,
lib/acr/qualification/benchmarks/atomic_benchmark.cpp,acr,FINDINGS,0,2.79,3,
lib/acr/qualification/benchmarks/benchmark_common.hpp,acr,HEADER_VIA_TU,-2,0.0,0,
lib/acr/qualification/benchmarks/benchmark_main.cpp,acr,PASS,0,0.85,0,
lib/acr/qualification/benchmarks/branch_benchmark.cpp,acr,FINDINGS,0,2.51,2,
lib/acr/qualification/benchmarks/convolution_benchmark.cpp,acr,FINDINGS,0,2.61,1,
lib/acr/qualification/benchmarks/irregular_benchmark.cpp,acr,FINDINGS,0,2.62,3,
lib/acr/qualification/benchmarks/numa_benchmark.cpp,acr,FINDINGS,0,6.62,2,
lib/acr/qualification/benchmarks/overhead_benchmark.cpp,acr,FINDINGS,0,2.66,4,
lib/acr/qualification/benchmarks/reduction_benchmark.cpp,acr,FINDINGS,0,5.89,1,
lib/acr/qualification/benchmarks/stream_benchmark.cpp,acr,PASS,0,4.82,0,
lib/acr/qualification/benchmarks/thread_curve_benchmark.cpp,acr,FINDINGS,0,6.05,1,
lib/acr/qualification/benchmarks/transfer_benchmark.cpp,acr,PASS,0,2.65,0,
lib/acr/qualification/focused/acr_benchmark_focused_main.cpp,acr,PASS,0,1.08,0,
lib/acr/qualification/focused/focused_benchmark.cpp,acr,PASS,0,9.53,0,
lib/acr/qualification/focused/focused_benchmark.hpp,acr,HEADER_VIA_TU,-2,0.0,0,
lib/acr/qualification/focused/focused_operations.cpp,acr,PASS,0,2.79,0,
lib/acr/qualification/focused/focused_operations.hpp,acr,HEADER_VIA_TU,-2,0.0,0,
lib/acr/qualification/focused/operation_profile.cpp,acr,PASS,0,8.11,0,
lib/acr/qualification/focused/operation_profile.hpp,acr,HEADER_VIA_TU,-2,0.0,0,
lib/acr/qualification/profile_generator.cpp,acr,PASS,0,8.82,0,
lib/acr/qualification/profile_generator.hpp,acr,HEADER_VIA_TU,-2,0.0,0,
lib/acr/qualification/profile_schema.hpp,acr,HEADER_VIA_TU,-2,0.0,0,
lib/acr/routing/benchmark_route_estimator.cpp,acr,PASS,0,8.5,0,
lib/acr/routing/benchmark_route_estimator.hpp,acr,HEADER_VIA_TU,-2,0.0,0,
lib/acr/routing/route_profile_v2.cpp,acr,PASS,0,13.6,0,
lib/acr/routing/route_profile_v2.hpp,acr,HEADER_VIA_TU,-2,0.0,0,
lib/acr/scheduler/current_state.cpp,acr,PASS,0,6.09,0,
lib/acr/scheduler/current_state.hpp,acr,HEADER_VIA_TU,-2,0.0,0,
lib/acr/scheduler/device_executor.cpp,acr,PASS,0,2.86,0,
lib/acr/scheduler/device_executor.hpp,acr,HEADER_VIA_TU,-2,0.0,0,
lib/acr/scheduler/dispatcher.cpp,acr,PASS,0,23.18,0,
lib/acr/scheduler/dispatcher.hpp,acr,HEADER_VIA_TU,-2,0.0,0,
lib/acr/scheduler/fallback.cpp,acr,PASS,0,2.7,0,
lib/acr/scheduler/fallback.hpp,acr,HEADER_VIA_TU,-2,0.0,0,
lib/acr/scheduler/mixed_route_planner.cpp,acr,PASS,0,1.86,0,
lib/acr/scheduler/mixed_route_planner.hpp,acr,HEADER_VIA_TU,-2,0.0,0,
lib/acr/scheduler/mixed_runner.cpp,acr,PASS,0,1.05,0,
lib/acr/scheduler/mixed_runner.hpp,acr,HEADER_VIA_TU,-2,0.0,0,
lib/acr/scheduler/partitioner.cpp,acr,PASS,0,0.75,0,
lib/acr/scheduler/partitioner.hpp,acr,HEADER_VIA_TU,-2,0.0,0,
lib/acr/scheduler/queue_aware.cpp,acr,PASS,0,0.73,0,
lib/acr/scheduler/queue_aware.hpp,acr,HEADER_VIA_TU,-2,0.0,0,
lib/acr/scheduler/reduction_merger.cpp,acr,PASS,0,0.92,0,
lib/acr/scheduler/reduction_merger.hpp,acr,HEADER_VIA_TU,-2,0.0,0,
lib/acr/scheduler/residency_manager.cpp,acr,PASS,0,2.56,0,
lib/acr/scheduler/residency_manager.hpp,acr,HEADER_VIA_TU,-2,0.0,0,
lib/acr/scheduler/shared_work_pool.cpp,acr,PASS,0,3.17,0,
lib/acr/scheduler/shared_work_pool.hpp,acr,HEADER_VIA_TU,-2,0.0,0,
lib/acr/topology/cpu_features.cpp,acr,PASS,0,2.54,0,
lib/acr/topology/hwloc_topo.cpp,acr,PASS,0,4.88,0,
lib/acr/utilization/actual_tracker.cpp,acr,PASS,0,8.38,0,
lib/acr/utilization/actual_tracker.hpp,acr,HEADER_VIA_TU,-2,0.0,0,
lib/acr/utilization/config_hot_read.cpp,acr,PASS,0,1.26,0,
lib/acr/utilization/config_hot_read.hpp,acr,HEADER_VIA_TU,-2,0.0,0,
lib/acr/utilization/memory_budget.cpp,acr,PASS,0,4.96,0,
lib/acr/utilization/memory_budget.hpp,acr,HEADER_VIA_TU,-2,0.0,0,
lib/acr/utilization/staging_ledger.cpp,acr,PASS,0,0.88,0,
lib/acr/utilization/staging_ledger.hpp,acr,HEADER_VIA_TU,-2,0.0,0,
lib/acr/utilization/system_metrics.cpp,acr,PASS,0,7.11,0,
lib/acr/utilization/system_metrics.hpp,acr,HEADER_VIA_TU,-2,0.0,0,
lib/astro_image_io/include/aio_ahpx_format.h,astro_image_io,HEADER_VIA_TU,-2,0.0,0,
lib/astro_image_io/include/aio_healpix_io.h,astro_image_io,HEADER_VIA_TU,-2,0.0,0,
lib/astro_image_io/include/aio_hips.h,astro_image_io,HEADER_VIA_TU,-2,0.0,0,
lib/astro_image_io/include/aio_hips_reader.h,astro_image_io,HEADER_VIA_TU,-2,0.0,0,
lib/astro_image_io/include/aio_pipeline.h,astro_image_io,HEADER_VIA_TU,-2,0.0,0,
lib/astro_image_io/include/aio_pipeline_engine.h,astro_image_io,HEADER_VIA_TU,-2,0.0,0,
lib/astro_image_io/include/aio_upm.h,astro_image_io,HEADER_VIA_TU,-2,0.0,0,
lib/astro_image_io/include/astro_image_io.h,astro_image_io,HEADER_VIA_TU,-2,0.0,0,
lib/astro_image_io/include/hiss_format.h,astro_image_io,HEADER_VIA_TU,-2,0.0,0,
lib/astro_image_io/src/ahpx/aio_ahpx_api.cpp,astro_image_io,PASS,0,0.63,0,
lib/astro_image_io/src/ahpx/aio_ahpx_reader.cpp,astro_image_io,PASS,0,7.63,0,
lib/astro_image_io/src/ahpx/aio_ahpx_reader.h,astro_image_io,HEADER_VIA_TU,-2,0.0,0,
lib/astro_image_io/src/ahpx/aio_ahpx_writer.cpp,astro_image_io,FINDINGS,0,6.35,1,
lib/astro_image_io/src/ahpx/aio_ahpx_writer.h,astro_image_io,HEADER_VIA_TU,-2,0.0,0,
lib/astro_image_io/src/aio_api.cpp,astro_image_io,PASS,0,2.01,0,
lib/astro_image_io/src/aio_compressor.cpp,astro_image_io,PASS,0,0.08,0,
lib/astro_image_io/src/aio_compressor.h,astro_image_io,HEADER_VIA_TU,-2,0.0,0,
lib/astro_image_io/src/aio_fits.cpp,astro_image_io,PASS,0,13.98,0,
lib/astro_image_io/src/aio_fits.h,astro_image_io,HEADER_VIA_TU,-2,0.0,0,
lib/astro_image_io/src/aio_log.cpp,astro_image_io,PASS,0,1.69,0,
lib/astro_image_io/src/aio_log.h,astro_image_io,HEADER_VIA_TU,-2,0.0,0,
lib/astro_image_io/src/aio_pipeline.cpp,astro_image_io,FINDINGS,0,11.91,1,
lib/astro_image_io/src/aio_pipeline_engine.cpp,astro_image_io,PASS,0,5.16,0,
lib/astro_image_io/src/aio_upm.cpp,astro_image_io,PASS,0,4.9,0,
lib/astro_image_io/src/aio_util.h,astro_image_io,HEADER_VIA_TU,-2,0.0,0,
lib/astro_image_io/src/aio_xisf.cpp,astro_image_io,PASS,0,6.31,0,
lib/astro_image_io/src/aio_xisf.h,astro_image_io,HEADER_VIA_TU,-2,0.0,0,
lib/astro_image_io/src/healpix/aio_healpix_io.cpp,astro_image_io,PASS,0,10.39,0,
lib/astro_image_io/src/hips/aio_hips_reader.cpp,astro_image_io,PASS,0,4.06,0,
