dq_id,dataset,candidate,original_bytes,compressed_bytes,compression_ratio,compress_ms,decompress_ms,compress_mbs,decompress_mbs,cpu_ms,peak_rss_kb,repeats,verified,extra_value1,extra_value2,extra_note
DQ-005,large_full,BITMAP,327680,335872,0.9756,0.063,0.034,0.00,0.00,0.000,8216,10,true,335872.0000,0.0000,"bitmap_volume_bytes=335872"
DQ-005,large_full,SPARSE_LIST,327680,589824,0.5556,0.005,0.018,0.00,0.00,0.000,8216,10,true,589824.0000,0.0000,"sparse_volume_bytes=589824"
DQ-005,large_full,FULL,327680,327680,1.0000,0.000,0.000,0.00,0.00,0.000,8216,0,true,327680.0000,0.0000,"full_volume_bytes=327680"
DQ-005,center_80,BITMAP,327680,270332,1.2121,0.050,0.092,0.00,0.00,0.000,8216,10,true,270332.0000,0.0000,"bitmap_volume_bytes=270332"
DQ-005,center_80,SPARSE_LIST,327680,471852,0.6945,0.003,0.015,0.00,0.00,0.000,8216,10,true,471852.0000,0.0000,"sparse_volume_bytes=471852"
DQ-005,center_80,FULL,327680,327680,1.0000,0.000,0.000,0.00,0.00,0.000,8216,0,true,327680.0000,0.0000,"full_volume_bytes=327680"
DQ-005,edge_30,BITMAP,327680,106492,3.0770,0.015,0.118,0.00,0.00,0.000,8216,10,true,106492.0000,0.0000,"bitmap_volume_bytes=106492"
DQ-005,edge_30,SPARSE_LIST,327680,176940,1.8519,0.001,0.005,0.00,0.00,0.000,8216,10,true,176940.0000,0.0000,"sparse_volume_bytes=176940"
DQ-005,edge_30,FULL,327680,327680,1.0000,0.000,0.000,0.00,0.00,0.000,8216,0,true,327680.0000,0.0000,"full_volume_bytes=327680"
DQ-005,sparse_5,BITMAP,327680,24572,13.3355,0.002,0.036,0.00,0.00,0.000,8216,10,true,24572.0000,0.0000,"bitmap_volume_bytes=24572"
DQ-005,sparse_5,SPARSE_LIST,327680,29484,11.1138,0.000,0.001,0.00,0.00,0.000,8216,10,true,29484.0000,0.0000,"sparse_volume_bytes=29484"
DQ-005,sparse_5,FULL,327680,327680,1.0000,0.000,0.000,0.00,0.00,0.000,8216,0,true,327680.0000,0.0000,"full_volume_bytes=327680"
DQ-006,large_full,CRC32C,262144,4,0.0000,0.516,0.000,484.36,0.00,0.500,8216,10,true,484.3553,0.0000,"throughput_MB/s=484.355323"
DQ-006,large_full,xxHash32,262144,4,0.0000,0.030,0.000,8223.68,0.00,0.000,8216,10,true,8223.6842,0.0000,"throughput_MB/s=8223.684211"
DQ-006,large_full,RAW(no-checksum),262144,0,0.0000,0.000,0.000,0.00,0.00,0.000,8216,0,true,0.0000,0.0000,"基线: 无校验, 不作为推荐"
DQ-006,center_80,CRC32C,209712,4,0.0000,0.390,0.000,512.55,0.00,0.000,8216,10,true,512.5498,0.0000,"throughput_MB/s=512.549842"
DQ-006,center_80,xxHash32,209712,4,0.0000,0.024,0.000,8179.83,0.00,0.000,8216,10,true,8179.8343,0.0000,"throughput_MB/s=8179.834284"
DQ-006,center_80,RAW(no-checksum),209712,0,0.0000,0.000,0.000,0.00,0.00,0.000,8216,0,true,0.0000,0.0000,"基线: 无校验, 不作为推荐"
DQ-006,edge_30,CRC32C,78640,4,0.0000,0.145,0.000,515.44,0.00,0.000,8216,10,true,515.4429,0.0000,"throughput_MB/s=515.442943"
DQ-006,edge_30,xxHash32,78640,4,0.0000,0.009,0.000,8241.42,0.00,0.000,8216,10,true,8241.4229,0.0000,"throughput_MB/s=8241.422884"
DQ-006,edge_30,RAW(no-checksum),78640,0,0.0000,0.000,0.000,0.00,0.00,0.000,8216,0,true,0.0000,0.0000,"基线: 无校验, 不作为推荐"
DQ-006,sparse_5,CRC32C,13104,4,0.0000,0.024,0.000,514.28,0.00,0.000,8216,10,true,514.2777,0.0000,"throughput_MB/s=514.277705"
DQ-006,sparse_5,xxHash32,13104,4,0.0000,0.002,0.000,8062.55,0.00,0.000,8216,10,true,8062.5473,0.0000,"throughput_MB/s=8062.547253"
DQ-006,sparse_5,RAW(no-checksum),13104,0,0.0000,0.000,0.000,0.00,0.00,0.000,8216,0,true,0.0000,0.0000,"基线: 无校验, 不作为推荐"
DQ-007,large_full,align-8B,860160,860160,1.0000,0.000,0.000,0.00,0.00,0.000,8216,10,true,0.0000,0.0000,"padding_bytes=0 waste_pct=0.000000 random_read_ms=0.000002"
DQ-007,large_full,align-64B,860160,860160,1.0000,0.000,0.000,0.00,0.00,0.000,8216,10,true,0.0000,0.0000,"padding_bytes=0 waste_pct=0.000000 random_read_ms=0.000002"
DQ-007,large_full,align-4KiB,860160,860160,1.0000,0.000,0.000,0.00,0.00,0.000,8216,10,true,0.0000,0.0000,"padding_bytes=0 waste_pct=0.000000 random_read_ms=0.000002"
DQ-007,center_80,align-8B,689756,689760,1.0000,0.000,0.000,0.00,0.00,0.000,8216,10,true,4.0000,0.0006,"padding_bytes=4 waste_pct=0.000580 random_read_ms=0.000002"
DQ-007,center_80,align-64B,689756,689856,1.0001,0.000,0.000,0.00,0.00,0.000,8216,10,true,100.0000,0.0145,"padding_bytes=100 waste_pct=0.014498 random_read_ms=0.000002"
DQ-007,center_80,align-4KiB,689756,696320,1.0095,0.000,0.000,0.00,0.00,0.000,8216,10,true,6564.0000,0.9516,"padding_bytes=6564 waste_pct=0.951641 random_read_ms=0.000002"
DQ-007,edge_30,align-8B,263772,263776,1.0000,0.000,0.000,0.00,0.00,0.000,8216,10,true,4.0000,0.0015,"padding_bytes=4 waste_pct=0.001516 random_read_ms=0.000002"
DQ-007,edge_30,align-64B,263772,263872,1.0004,0.000,0.000,0.00,0.00,0.000,8216,10,true,100.0000,0.0379,"padding_bytes=100 waste_pct=0.037912 random_read_ms=0.000002"
DQ-007,edge_30,align-4KiB,263772,270336,1.0249,0.000,0.000,0.00,0.00,0.000,8216,10,true,6564.0000,2.4885,"padding_bytes=6564 waste_pct=2.488513 random_read_ms=0.000002"
DQ-007,sparse_5,align-8B,50780,50784,1.0001,0.000,0.000,0.00,0.00,0.000,8216,10,true,4.0000,0.0079,"padding_bytes=4 waste_pct=0.007877 random_read_ms=0.000002"
DQ-007,sparse_5,align-64B,50780,50880,1.0020,0.000,0.000,0.00,0.00,0.000,8216,10,true,100.0000,0.1969,"padding_bytes=100 waste_pct=0.196928 random_read_ms=0.000002"
DQ-007,sparse_5,align-4KiB,50780,57344,1.1293,0.000,0.000,0.00,0.00,0.000,8216,10,true,6564.0000,12.9263,"padding_bytes=6564 waste_pct=12.926349 random_read_ms=0.000002"
