elapsed_seconds,active_workers,runnable_workers,utilization_pct
100.001,16,16,50.00
100.501,16,16,50.00
101.001,16,16,50.00
101.501,16,16,50.00
102.001,16,16,50.00
102.501,16,16,50.00
103.001,16,16,50.00
103.501,16,16,50.00
104.001,16,16,50.00
104.501,16,16,50.00
105.001,16,16,50.00
105.501,16,16,50.00
106.001,16,16,50.00
106.501,16,16,50.00
107.001,16,16,50.00
107.501,16,16,50.00
108.001,16,16,50.00
108.501,16,16,50.00
109.001,16,16,50.00
109.501,16,16,50.00
110.001,16,16,50.00
110.502,16,16,50.00
111.001,16,16,50.00
111.503,16,16,50.00
112.001,16,16,50.00
112.501,16,16,50.00
113.002,16,16,50.00
113.501,16,16,50.00
114.001,16,16,50.00
114.501,16,16,50.00
115.001,16,16,50.00
115.501,16,16,50.00
116.001,16,16,50.00
116.501,16,16,50.00
117.002,16,16,50.00
117.501,16,16,50.00
118.001,16,16,50.00
118.502,16,16,50.00
119.002,16,16,50.00
119.501,16,16,50.00
120.001,16,16,50.00
120.501,16,16,50.00
121.001,16,16,50.00
121.502,16,16,50.00
122.001,16,16,50.00
122.501,16,16,50.00
123.001,16,16,50.00
123.501,16,16,50.00
124.001,16,16,50.00
124.501,16,16,50.00
125.001,16,16,50.00
125.501,16,16,50.00
126.001,16,16,50.00
126.501,16,16,50.00
127.002,16,16,50.00
127.501,16,16,50.00
128.001,16,16,50.00
128.501,16,16,50.00
129.001,16,16,50.00
129.501,16,16,50.00
130.001,16,16,50.00
130.501,16,16,50.00
131.001,16,16,50.00
131.502,16,16,50.00
132.001,16,16,50.00
132.501,16,16,50.00
133.001,16,16,50.00
133.502,16,16,50.00
134.002,16,16,50.00
134.502,16,16,50.00
135.002,16,16,50.00
135.501,16,16,50.00
136.001,16,16,50.00
136.501,16,16,50.00
137.001,16,16,50.00
137.501,16,16,50.00
138.001,16,16,50.00
138.501,16,16,50.00
139.001,16,16,50.00
139.501,16,16,50.00
140.001,16,16,50.00
140.501,16,16,50.00
141.001,16,16,50.00
141.501,16,16,50.00
142.001,16,16,50.00
142.502,16,16,50.00
143.001,16,16,50.00
143.501,16,16,50.00
144.001,16,16,50.00
144.502,16,16,50.00
145.001,16,16,50.00
145.501,16,16,50.00
146.001,16,16,50.00
146.501,16,16,50.00
147.001,16,16,50.00
147.501,16,16,50.00
148.001,16,16,50.00
148.501,16,16,50.00
149.001,16,16,50.00
149.501,16,16,50.00
150.001,16,16,50.00
150.501,16,16,50.00
151.001,16,16,50.00
151.502,16,16,50.00
152.002,16,16,50.00
152.502,16,16,50.00
153.001,16,16,50.00
153.501,16,16,50.00
154.001,16,16,50.00
154.501,16,16,50.00
155.001,16,16,50.00
155.501,16,16,50.00
156.001,16,16,50.00
156.501,16,16,50.00
157.001,16,16,50.00
157.501,16,16,50.00
158.002,16,16,50.00
