timestamp,working_set_mb,paged_mem_mb,nonpaged_mb
10:29:58.793,32642.54,18552.37,0.16
10:29:59.034,32642.54,18552.37,0.16
10:29:59.262,32642.54,18552.37,0.16
10:29:59.494,32642.54,18552.37,0.16
10:29:59.725,32642.54,18552.37,0.16
10:29:59.958,32642.54,18552.37,0.16
10:30:00.170,32642.54,18552.37,0.16
10:30:00.387,32642.54,18552.37,0.16
10:30:00.608,32642.54,18552.37,0.16
10:30:00.817,32642.54,18552.37,0.16
10:30:01.035,32642.54,18552.37,0.16
10:30:01.253,32642.55,18552.37,0.16
10:30:01.468,32110.83,18019.57,0.16
10:30:01.689,32111,18019.57,0.16
10:30:01.907,31969.29,17877.58,0.16
10:30:02.124,31412.59,17856.54,0.16
10:30:02.343,31192.03,17630.98,0.16
10:30:02.560,30334.18,16799.53,0.16
10:30:02.779,30334.07,16834.2,0.16
10:30:02.998,29732.43,16856.04,0.16
10:30:03.215,29732.33,16891.54,0.16
10:30:03.433,29732.33,16926.2,0.16
10:30:03.653,28717.27,15748.64,0.16
10:30:03.869,28717.27,15794.57,0.16
10:30:04.086,28081.66,15823.99,0.16
10:30:04.302,28080.88,15881.14,0.16
10:30:04.520,28080.2,15938.92,0.16
10:30:04.738,28080.2,15999.8,0.16
10:30:04.956,28079.41,16055.72,0.16
10:30:05.173,28079.05,16106.07,0.16
10:30:05.390,27264.98,14924.16,0.16
10:30:05.606,26479.81,14818.63,0.16
10:30:05.824,26479.38,14896.48,0.16
10:30:06.043,26478.87,14970.45,0.16
10:30:06.261,26478.31,15046.29,0.16
10:30:06.481,26477.75,15116.68,0.16
10:30:06.698,26477.51,15192.12,0.16
10:30:06.917,26477.16,15262.76,0.16
10:30:07.134,26476.54,15332.46,0.16
10:30:07.354,25814.89,15362.27,0.16
10:30:07.571,24922.64,13894.46,0.16
10:30:07.786,24920.62,13958.14,0.16
10:30:08.004,24919.59,14027.91,0.16
10:30:08.221,24918.78,14092.92,0.16
10:30:08.440,24917.8,14159.28,0.16
10:30:08.659,24916.6,14221.98,0.16
10:30:08.879,24915.09,14284.84,0.16
10:30:09.097,24914.55,14345.18,0.16
10:30:09.316,24239.88,14377.33,0.16
10:30:09.533,23407.2,13028.32,0.16
10:30:09.752,23402.82,13113.08,0.16
10:30:09.969,23400.93,13204.62,0.16
10:30:10.188,23397.82,13290.32,0.16
10:30:10.404,23396.11,13377.64,0.16
10:30:10.621,23393.68,13465.08,0.16
10:30:10.838,23391.4,13553.29,0.16
10:30:11.054,23388.14,13637.44,0.16
10:30:11.274,23384.45,13726.73,0.16
10:30:11.495,23380.86,13812.23,0.16
10:30:11.710,22711.5,13857.57,0.16
10:30:11.925,21944.14,12252.14,0.16
10:30:12.142,21939.31,12345.94,0.16
10:30:12.360,21930.95,12440.6,0.16
10:30:12.574,21925.22,12532.45,0.16
10:30:12.794,21922.07,12621.15,0.16
10:30:13.011,21917.69,12720.27,0.16
10:30:13.230,21913.36,12816.38,0.16
10:30:13.448,21908.5,12915.29,0.16
10:30:13.667,21904.23,13014.31,0.16
10:30:13.886,21805.07,12722.34,0.16
10:30:14.101,21166.36,11528.89,0.16
10:30:14.320,20494.67,11598.22,0.16
10:30:14.537,20485.73,11704.74,0.16
10:30:14.755,20475.77,11817.04,0.16
10:30:14.974,20466.49,11926.59,0.16
10:30:15.190,20457.52,12035.38,0.16
10:30:15.409,20448.51,12140.93,0.16
10:30:15.628,20434.5,12240.71,0.16
10:30:15.846,20423.8,12341.24,0.16
10:30:16.064,19798.73,10796.29,0.16
10:30:16.281,19789.97,10906.65,0.16
10:30:16.501,19780.98,11022.57,0.16
10:30:16.717,19064.55,11079.28,0.16
10:30:16.934,19044.69,11167.07,0.16
10:30:17.150,19026.68,11270.14,0.16
10:30:17.366,19007.26,11366.74,0.16
10:30:17.580,18989.71,11466.53,0.16
10:30:17.800,18433.53,10108.94,0.16
10:30:18.015,18417.76,10231.83,0.16
10:30:18.232,18398.67,10352.65,0.16
10:30:18.450,18382.7,10483.05,0.16
10:30:18.664,18368.22,10610.29,0.16
10:30:18.879,17660.12,10663.54,0.16
10:30:19.094,17630.38,10736.78,0.16
10:30:19.310,17122.78,9460.57,0.16
10:30:19.527,17095.98,9579.18,0.16
